[8392] "Что?! Ч-что это вдруг...?!"
[8393] "Ну, просто я давно хотел с вами сблизиться, господин Морияма, а до меня дошло, что вы любите такие сайты."
[8394] "Н-не понимаю, о чём вы..."
[8395] "А как насчёт того, чтобы поиграть... с живым оригиналом?"
[8396] "...С ж-живым оригиналом...?"
[8397] "Вы разве не слышали? Кланы... эти анти-асоговские группировки зарабатывают, торгуя девочками."
[8398] "Надо же... Впрочем, да, я слышал, что подобный промысел процветает в подполье..."
[8399] "Ещё как процветает! Мы этим тоже занимаемся.
[8400] Ну что скажете? За счёт заведения."
[8401] "Э-э-мм-гхх... Подмазаться ко мне решили? Н-но проституция же―"
[8402] "Да-да. Ну так что скажете?"
[8403] "Хм... А, нет-нет."
[8404] "Да не стесняйтесь вы.
[8405] Развлекайтесь как душе угодно, господин Морияма."
[8406] "Можно совать в любую дырку, делать что угодно.
[8407] Предохраняться не надо, хотите — обрюхатьте.
[8408] Можно оргию. Можно БДСМ. Всё что угодно."
[8409] "...А б-бить... её можно?"
[8410] "Ну разумеется! Хотите — свяжите, хотите — хоть душите."
[8411] "..."
[8412] "Наш общий знакомый — мой постоянный клиент, и уж он-то развлекался по-всякому."
[8413] "П-правда? И... все так делают?"
[8414] "Конечно, конечно! Иногда девочек так загоняем, что от них живого места не остаётся! Ахахаха!"
[8415] "Многим девочкам такая острота даже нравится.
[8416] Если вас это заводит, господин Морияма, то вы отлично проведёте время."
[8417] "Я-я-я-я-я... да...?"
[8418] "Ох, кажется, я увёл разговор в сторону."
[8419] "А-а..."
[8420] "Вернёмся к делу.
[8421] Что скажешь?"
[8422] "Х-хм, ну... Я всё ещё стою на своём.
[8423] Я не могу вести дела с вами."
[8424] "О-однако, хм... если несколько штук случайно пропадут..."
[8425] (Хехех, он мой...!)
[8426] "...?"
[8427] "А? Что это за звук...?"
[8428] "Эй."
[8429] "Ч-ч-ч-что это?!
[8430] Это твои подручные?!"
[8431] "Нет-нет!"
[8432] (Клан Синономэ?! Не похоже на них — двигаться вот так...!
[8433] И кто эта мелкая...?)
[8434] "И этого достаточно, чтобы купить руководителя?
[8435] Да вы в Асоги сборище слабаков!"
[8436] "Что?! В-вы другая...
[8437] группа Анти-Асо?! Охрана―"
[8438] "Они, должно быть, устали, потому что все спят. Ты слишком их загонял."
[8439] "Абсурд...! Я думал, моя охрана обучена по высшему уровню..."
[8440] "Ты вооружил их игрушками.
[8441] Думаешь, мы настолько жалкие?"
[8442] (Что за огромное оружие у них...? Как они его достали...?!)
[8443] "Эй, пудреная рожа, ты Мурасаки, да? Из Flattt."
[8444] "...Ага. Осведомлённая ты, смотрю.
[8445] За автографом пришла?"
[8446] "...Цуина, проход спереди мы почти расчистили."
[8447] "А-а, отлично."
[8448] "Синадзу... Кто эта маленькая леди?
[8449] Ну же, я думал, мы приятели.
[8450] Не представишь?"
[8451] "Я глава клана Синономэ, Цуина Мибу."
[8452] "А? Синадзу, я думал, ты всё захватил.
[8453] Тебя уже отозвали?"
[8454] "Что-то вроде того."
[8455] "..."
[8456] "Мурасаки, я хочу, чтобы ты заключил союз с кланом Синономэ."
[8457] "...Что?"
[8458] "Тебе ведь не нравится ползать по земле? Ты вроде такой же злой мерзавец, как я."
[8459] "А если я откажусь?"
[8460] "Тогда рыбы в гавани будут в восторге. Фарш для всех!"
[8461] "...Думаю, рыбаки тоже будут плясать от счастья."
[8462] "Мне всё равно.
[8463] Выбирай."
[8464] (...Что с этой девчонкой...?)
[8465] "Я не трогаю тех, кто полезен.
[8466] Ты ведь умеешь делать умный выбор?"
[8467] "...Ты права. Идея не такая уж плохая.
[8468] Если подумать, даже хорошая.
[8469] Так мы сможем раздавить Наюту одним ударом."
[8470] "Не то чтобы они вообще были угрозой."
[8471] "О. Да, абсолютно верно!
[8472] Они ни в заработке, ни в нападениях на Асоги не думают на два шага вперёд."
[8473] "Тогда... ты с нами?"
[8474] "Конечно. Но у меня есть одно незавершённое дело. Разберусь с ним, потом поговорим."
[8475] "Хмф. Как хочешь. Приступай."
[8476] "Ага, предоставь это мне.
