[23976] (Вообще-то я просто подумал, что ты какой-то странный мальчишка... А-а, лучше промолчу.)
[23977] "...Ну да, наверное."
[23978] "Фвех?!"
[23979] "Так кем ты был в команде, Джокер?"
[23980] "Менеджером!"
[23981] "...А?!"
[23982] "...Почему?"
[23983] "Потому что все сказали, что эта роль подходит мне лучше всего!"
[23984] "Летом я каждый день приносил всем горы спортивных напитков и лимонада с мёдом."
[23985] "..."
[23986] "Ну... Технически опыт участия в спортивном клубе у него и правда есть..."
[23987] "А вот спортивный опыт в привычном смысле... вряд ли."
[23988] "Кстати, ты ведь родом из какой-то жуткой глуши...?"
[23989] "Ага! Они сказали, что им не хватает участников, и предложили мне вступить."
[23990] "...Менеджером?"
[23991] "А-а, работы было полно! Приходилось стирать всю форму и записывать счёт во время матчей..."
[23992] "Это... и правда нелегко..."
[23993] "М-м... В интернете пишут, что заботиться о спортивной команде — крайне тяжёлая работа."
[23994] "А-а, всё было не так плохо! Все понемногу мне помогали!"
[23995] "Но стоило мне остаться с кем-нибудь в комнате наедине, как он начинал странно на меня смотреть. Может, они считали меня ненадёжным..."
[23996] "Тебе не кажется... что твоей невинности угро―"
[23997] "Тс-с..."
[23998] "Пока меня не забрали в больницу, я каждый день отдавал клубу все силы, поэтому и здесь буду стараться изо всех сил!"
[23999] "Ладно, продолжу! Сорок один, сорок два..."
[24000] "Значит, ты научился делать замах, просто наблюдая...? Но менеджеры―"
[24001] "...Беру свои слова назад."
[24002] "Хм?"
[24003] "Иногда о книге и правда можно судить... по обложке."
[24004] "...Ага."
[24005] "Э-э-эй, Ку-у-у-ума! Теперь я буду тренироваться подавать! Посмо-о-о-отришь?!"
[24006] "Ну, ещё рановато... но, пожалуй, мне уже пора."
[24007] "О, пока! Не забудь принести сладостей, папочка♪" "Не припомню, чтобы у меня была такая дочь."
[24008] "Я имела в виду папочку другого рода."
[24009] "Я тебе и не папик."
[24010] "Ты идёшь на работу, Кума?"
[24011] "Ага, как раз собирался выходить."
[24012] "Тогда, пожалуйста, возьми меня с собой! Я буду помогать!"
[24013] "Опять ты за своё..."
[24014] "Но такому мелкому, как ты, там нечего делать. Сколько раз повторять?"
[24015] "Я возьмусь за любое дело, лишь бы быть тебе полезным, Кума...!"
[24016] "Послушай, я понимаю... но помощник мне не ну―"
[24017] "Почему бы хотя бы не взять его с собой? Наверняка там найдётся какая-нибудь мелкая работа, да?"
[24018] "Ну, наверное, найдётся..."
[24019] "А-а! Тогда просто предоставь всё мне!
[24020] Я выполню любое поручение!"
[24021] "Ты ведь понимаешь, чем я зарабатываю на жизнь?"
[24022] "Нет, понятия не имею."
[24023] "..."
[24024] "В некотором смысле он очень честный."
[24025] "Но я быстро учусь! На удивление быстро!"
[24026] "Что будешь делать, Кума?"
[24027] "Хм... И что мне делать?"
[24028] "А что это за работа? Ты ведь из «Анти-Асоги», значит, она довольно опасная..."
[24029] "Нет, ничего такого... Э-э, как бы объяснить...?"
[24030] "Ну, примерно вот такая. На."
[24031] "А, что это за виде―"
[24032] "Нффх-аах-я-а-а-а-а-а-а-а-а-ах!
[24033] А-а, нет―аах-аах―такой большой...!"
[24034] "Ва-ва-ва! Что они делают?!
[24035] Э-этот мужчина и женщина голые...!"
[24036] "Это работа, где оказывают вот такие услуги.
[24037] Поэтому я и говорю, что тебе нельзя."
[24038] "Вот такие... услуги? А какие именно...?"
[24039] "Ува-а, эта женщина ест твёрдый член мужчины..."
[24040] "А...? Это ведь ужасно негигиенично...? Они...
[24041] а? Спортом занимаются...?"
[24042] "А-а, он вообще ничего не понимает."
[24043] "..."
[24044] "Ты никогда ничего подобного не смотрел...?"
[24045] "Нет, вижу впервые..."
[24046] "Секс. Трах. Изнасилование. Проституция. Шлюхи.
[24047] Групповуха."
[24048] "? Нет, понятия не имею... Это на каком языке?"
[24049] "Ого, он даже таких слов не знает."
[24050] "Ничего себе... В твоём возрасте мне всё это было ужасно интересно."
[24051] "Сейчас ты не сильно изменилась, правда?"
[24052] "Эм... Получается, я странный...?"
[24053] "Ну... не совсем..."
[24054] "Что... они делают? Зачем?"
[24055] "...Ну, потому что это приятно."
[24056] "Приятно...? Ты тоже этим занимаешься? Тебе приятно?"
[24057] "Ну, э-э... да."
