[3274] "Кьяаааааааа!"
[3275] "Мммммм! Милашка, милашка, милашка
[3276] Так бы и съела тебя...
[3277] А знаешь, пожалуй, и съем"
[3278] "М-милашка...?"
[3279] "Мм-хм?! Ммм! П-пожалуйста, слезьте с меня!"
[3280] "А не отправиться ли нам куда-нибудь вдвоём?
[3281] В бар, например... ммм, или сразу в отель♪" "А-а?!"
[3282] "Ах да, вот адрес моей электронной почты. Пиши, звони, спрашивай, где я, — когда захочешь и сколько захочешь!"
[3283] "А? А? Нет, я не могу...
[3284] Да кто вы вообще такая?!"
[3285] "Меня зовут Шион. Ну же, повтори за мной.
[3286] Ши-о-о-он..."
[3287] "Э-э, я не могу... Ваааа!
[3288] Н-не лижите мне в ухо...!"
[3289] "Тогда просто прикушу мочку...
[3290] Ммм"
[3291] "...Не знал, что у тебя такой характер."
[3292] "Ой-ой."
[3293] "А-а! Заппа! Э-э, у нас гостья..."
[3294] "Это вторая по значимости фигура в Flattt, если что."
[3295] "А...? Ч-что ещё за Flattt...?
[3296] А-а! О-она наш враг?!"
[3297] "А-а, убежал."
[3298] "Пришла дразнить нашего новичка? Это ещё один план Мурасаки?"
[3299] "Нет, я просто немного развлекалась... Жизнь куда богаче, когда ставишь развлечения выше работы, не думаешь?"
[3300] "Такие отношения лучше заранее согласовывать с боссом."
[3301] "Мурасаки скорее партнёр, чем босс.
[3302] Впрочем... как хочешь. Перейду к делу."
[3303] "Если пришла драться — я готов."
[3304] "Прости, но не в этот раз. Flattt и так понёс достаточно потерь."
[3305] "Хм? Звучит серьёзно."
[3306] "Наш прошлый замысел тоже провалился — спасибо одному клану."
[3307] "У нас тоже хоумрана не вышло."
[3308] "Правда? Ну, Мурасаки сказал, что мы устроим прощальную церемонию."
[3309] "П-прощальную церемонию...?"
[3310] "А?"
[3311] "Она пройдёт на пристани Шинономэ.
[3312] Надеюсь увидеть вас всех."
[3313] "..."
[3314] "До встречи, Джокер."
[3315] "А-а... А..."
[3316] "...Интересно, что это значит?
[3317] Это значит, Flattt распускается?"
[3318] "Без понятия."
[3319] "...И она ушла."
[3320] "Значит, у Flattt прощальная церемония."
[3321] "Это очередная ловушка, да?
[3322] Слишком очевидно."
[3323] "С самими Flattt в роли приманки?
[3324] Не уверен, что это в стиле Мурасаки."
[3325] "Э-эм... Неужели дела у Flattt правда настолько плохи, что им пришлось распуститься...?"
[3326] "Не-а."
[3327] "Ни за что."
[3328] "И даже если бы распускались, они всё равно наверняка что-нибудь замышляют."
[3329] "О-о, понятно..."
[3330] "Ну, что бы это ни было, наверняка будет интересно! Пойдём посмотрим!"
[3331] "Интересно...? Ну, мне тоже любопытно, что задумали Flattt..."
[3332] "Я за то, чтобы было интересно!"
[3333] "Я тоже♪" "И я туда же! Если окажется ловушкой — разобьём ловушку и убежим!"
[3334] "...То есть действуем как обычно?"
[3335] "Не переживай. Наш лозунг месяца: «Вперёд, вперёд, вперёд!»"
[3336] "Ты только что это придумал."
[3337] "А-а! Это будет мой первый настоящий бой!
[3338] Я постараюсь!"
[3339] "Тебе, наверное, лучше остаться здесь..."
[3340] "Нет, я пойду с вами! Может, пользы от меня мало, но если станет плохо, я хотя бы смогу быть твоим живым щитом, Кума!"
[3341] "...Очень прошу, не надо."
[3342] "Так это... пристань Шинономэ?
[3343] По-моему, тут пусто."
[3344] "Слышал, раньше здесь было оживлённо, но теперь используют новую пристань."
[3345] "Шинономэ... Шинономэ... Кстати.
[3346] Этот город назывался Шинономэ, пока его не переименовали в Асоги, верно?"
[3347] "А? Правда?"
[3348] "Эта группа самураев... клан Шинономэ... как-то связана с городом?"
[3349] "Кто знает. Происхождение названий кланов обычно довольно мутное..."
[3350] "Кстати, а откуда взялось название «Наюта»?"
[3351] "Да ниоткуда. Просто Заппа придумал."
[3352] "Ладно... Я постараюсь..."
[3353] "...Не накручивай себя.
[3354] Просто держись позади, хорошо?"
[3355] "А, д-да! Я вас не подведу!"
[3356] "Надеюсь, ты слушаешь..."
[3357] "Но, чувак, что у тебя за прикид...?"
[3358] "А? С-странно выглядит? Я думал, бандана закроет лицо...
[3359] и выглядит устрашающе!"
[3360] "Да, но вместе с кепкой задом наперёд и бейсбольной битой..."
[3361] "По-моему, ты похож на гопника."
[3362] "Что?! Но я ведь так долго всё продумывал!"
