[1796] "А-а! Что происходит?!"
[1797] "Э-это Анти-Асо! И они вооружены!
[1798] Бегите!"
[1799] "С дороги! Я первый! Вы знаете, кто я такой...?! Эй, где охрана?!"
[1800] "Э-э-эм! Мы тут всех до смерти пугаем!"
[1801] "Привыкай."
[1802] "Н-н-но―!"
[1803] "...Слышите? Впереди шум ещё сильнее..."
[1804] "...Ты прав. Это..."
[1805] "...Хм?"
[1806] "А-а! Это якудза-дьяволюди!"
[1807] "Эта шутка уже протухла... Но что здесь делает клан Шинономэ?!"
[1808] "Хм, а вы ещё кто...?"
[1809] "О...! Ну надо же, сам сэр Шиназу."
[1810] "А-а, ты Заппа, верно?
[1811] Значит, и Наюта здесь..."
[1812] "Смотрю, вы тут неплохо всё разносите.
[1813] Что привело вас сюда сегодня?"
[1814] "Кто вам составил меню и подсказал, что сегодня фирменное блюдо — музей?.. Эй, ты, большегрудая."
[1815] "А?! Э-эм... Ну, нам про это место сказал один человек...
[1816] Мурасаки, да?"
[1817] "...Не верю, что ты вот так прямо ему сказала."
[1818] "А? А-а, э-это плохо? Простите!"
[1819] "Мурасаки...? А-а, этот клоун.
[1820] Значит, ниточки дёргает он..."
[1821] "И что же ты, как второй человек Шинономэ,
[1822] собираешься с этим делать?"
[1823] "..."
[1824] "Хмф. Сегодня мне неохота плясать под дудку клоуна.
[1825] Считайте, я вас не видел. Проваливайте!"
[1826] "Упс. Ушли..."
[1827] "Уже второй раз на дьяволюда нарываемся... Не везёт так не везёт."
[1828] "Стоп... дьяволюд? Или дьяволюди? Их же много, значит... много дьяволюдей?"
[1829] "Э-э-эм, тот человек сказал нам уходить, так что..."
[1830] "...Что делаем, Заппа?"
[1831] "Ещё спрашиваешь! За ними!"
[1832] "Да... Это всё, что мы сейчас забрали. И ещё―"
[1833] "О! Снова встретились!"
[1834] "Не радуйся так..."
[1835] "А? Опять вы...? Я же сказал вам идти играть в другое место."
[1836] "Да брось. Но если ты не в настроении, мы тогда сами заберём остальную добычу!"
[1837] "Тч! Вы начинаете меня бесить..."
[1838] "Что здесь происходит?"
[1839] (Это та девушка, на которую мы наткнулись, когда искали детали для оружия...)
[1840] "А-а... Просто кучка детей, которые забыли, где им положено играть."
[1841] "Значит, те самые дети.
[1842] Если ни разговоры, ни угрозы вас не образумят, придётся вас изрубить."
[1843] "...!"
[1844] "Я Кикучиё Мибу, глава клана Шинономэ, и я―"
[1845] "Госпожа. Не пачкайте о них руки.
[1846] Я разберусь."
[1847] "Шиназу. Ты встаёшь у меня на пути?"
[1848] "Я ошибся, когда отпустил их в первый раз.
[1849] Вам вообще не следовало с ними говорить."
[1850] "...Хорошо."
[1851] "Значит, теперь остались только мы с вами.
[1852] Я положу конец вашим жалким жизням!"
[1853] "Это мы ещё посмотрим!
[1854] Хаха, вот теперь интересно!"
[1855] "Не зли его ещё сильнее, Заппа!
[1856] Медико, держись подальше от его катаны!"
[1857] "Д-да! Обещаю!"
[1858] "Хаах, хаах... Мы его победили...?"
[1859] "А-а, я уста-а-ала! Пальцы боля-ят!"
[1860] "Хм... Хмф."
[1861] (Что такое? Она совсем не выглядит встревоженной...)
[1862] "Ар-р-ргх... Давненько я не откидывал копыта."
[1863] "Хииих! Ч-что?! Он снова встал!"
[1864] "Его не просто так зовут Непобедимый Шиназу."
[1865] "С-с ним что-то не так...
[1866] Локоть гнётся в неправильную сторону...!"
[1867] "Это протез. Говорят, в драках он потерял столько частей тела, что теперь от него самого почти ничего не осталось."
[1868] "Ты у них главный, парень с пистолетом?
[1869] В бой лезешь напролом, но за остальными вроде приглядываешь."
[1870] "..."
[1871] "Ха. Для необученной мелюзги вы неплохи."
[1872] "Кума... Он опасен. Отступай."
[1873] "Шиназу... Чего ты с ними возишься?"
[1874] "Простите... Натура такая."
[1875] "Похоже, мне всё-таки придётся разобраться с ними самой.
[1876] Ты ведь не против?"
[1877] "...!"
[1878] "Хотите с нами сцепиться?"
[1879] "...?"
[1880] "...А?"
[1881] "...Что это я чувствую?"
[1882] "А-а! А-а! Ааааааааааа!"
[1883] "О, это плохо."
[1884] "Гьяаааааааааа!"
[1885] "...Так вот где творится этот хаос..."
[1886] "Только не он... Чёрт, назад!
[1887] Не лезьте между ними!"
[1888] "Ааааа! Ч-что теперь?!"
