[14897] В общем... поспорим об этом в другой раз."
[14898] "Эх... Ну ладно. Пойдём."
[14899] "Да, двигаем... Спасибо, Кикучиё.
[14900] Я это ценю."
[14901] "Кх... Хорошо."
[14902] "..."
[14903] "Йоу... Закончила бросать свой пост?"
[14904] "Было не так уж плохо. Впервые в жизни взяла отпуск."
[14905] "Кех! Ну у тебя и наглость."
[14906] "...Прости за то, что было."
[14907] "Ну, раз ты так настроена, то, наверное, нам не придётся устраивать позорную драму с мордобоем на сухом берегу реки."
[14908] "Да ну на фиг. Слишком уж стыдно."
[14909] "ALyCE..."
[14910] "Вы больше... не ссоритесь?"
[14911] "...Ну, мы вообще-то с самого начала и не ссор―"
[14912] "..."
[14913] "Да, мы помирились. Теперь всё хорошо."
[14914] "...Ага!"
[14915] "...Отлично! Так что мы теперь делаем?"
[14916] "Идём спасать Заппу, разумеется. Или же...
[14917] выясняем, что с ним сделали. Остальное спланируем, когда это выясним."
[14918] "Зацепки есть?"
[14919] "Нет."
[14920] "...Да ну тебя!"
[14921] "Потому я сейчас и думаю.
[14922] И тебе тоже надо подумать."
[14923] "Вот это надёжный лидер, ничего не скажешь..."
[14924] "Эй, я всего лишь на подмене, пока мы не вернём Заппу."
[14925] "Похоже, ты полагаешься на Заппу не меньше остальных, а?"
[14926] "Тут крыть нечем."
[14927] "Так, хватит вам любезничать.
[14928] Вы вроде бы думать должны, разве нет?"
[14929] "Верно... Итак, у нас две цели. Первое, что нам надо, — выяснить, куда увезли Заппу и что с ним стало."
[14930] "Второе — то же, что и раньше.
[14931] Нам нужно найти улики, которыми можно разоблачить Асоги."
[14932] "В обоих случаях мы упираемся в их штаб-квартиру, так что надо пробраться внутрь, но―"
[14933] "―Нам надо найти способ попасть внутрь, верно?
[14934] Надёжный путь, который приведёт нас в их штаб-квартиру..."
[14935] "Значит, надо найти кого-то, кто может знать способ пробраться в их штаб?"
[14936] "Мммм... Такие сведения вряд ли передают по эфиру."
[14937] "Никто из охраны и прочей мелкой сошки тоже не знает. Найти такого человека, наверное, будет трудно."
[14938] "А если я взломаю одного из уборочных роботов и покопаюсь в его данных? Они, наверное, заходят в здание по маршруту патрулирования."
[14939] "Мысль хорошая, но слишком опасно.
[14940] И нет никакой гарантии, что хоть у одного из них будут все нужные нам сведения."
[14941] "Мммм, тогда оставим это на крайний случай!"
[14943] "Тех, кто мог бы знать, вряд ли много.
[14944] Те, кто знает, наверняка из верхушки..."
[14945] "А? Но... разве начальство не охраняют как следует...?"
[14946] "Похитить одного из них... было бы чертовски рискованно.
[14947] То есть если надо — ладно, но всё же."
[14948] "Это крайняя мера.
[14949] Не первое, что я выбрал бы для основного плана."
[14950] "Уггх! Неужели никто здесь не дружит с кем-нибудь из начальства Асоги?!"
[14951] "С чего бы кому-то из нас с ними «дружить»?"
[14952] "Хмм, а как насчёт друга, у которого родитель из начальства? Всё было бы куда проще, если бы нас просто пустили внутрь!"
[14953] "Да, это был бы самый лёгкий путь..."
[14954] "Но у этих гадов есть своя свита."
[14955] "Аах... Пожалуй, ты права..."
[14956] "..."
[14957] "Похоже, придётся идти на крайние меры. Нам нужен кто-то из начальства, кого трудно отследить―"
[14958] "...Я поняла."
[14959] "Хм?"
[14960] "Вот оно...! Есть один путь...
[14961] который может привести нас туда."
[14962] "А? Есть?"
[14963] "Да... Госпожа. У неё есть связи... с Асоги."
[14964] "Ч―Что?! Госпожа?!"
[14965] "Успокойся. Не знаю, насколько глубокие, но что они есть — знаю точно."
[14966] "...Э... серьёзно?! Тогда, по-твоему, всё наше оружие―"
[14967] "Да, мы, вероятно, всё это время плясали под их дудку."
[14968] "Кххххххх... Ну и дерьмо!
[14969] И что тогда насчёт Госпожи?"
[14970] "Все эти подобранные ею VIP-клиенты, которых она нам сватает...
[14971] Думаю, это в основном начальство Асоги."
[14972] "П-Правда?"
[14973] "Учитывая, сколько денег они выкладывают за одну партнёршу, шансы велики.
[14974] Места встреч ведь не во Внешнем мире."
[14975] "А-Аах, если так подумать...
[14976] ты права..."
[14977] "Понятно. Если ты богатый человек в этом городе...
[14978] то с большой вероятностью ты из начальства Асоги, не так ли?"
