[5761] В стене на месте попадания... дыра.)
[5762] (Если бы я сейчас не пригнулась, была бы мертва...)
[5763] (Я-я могла умереть... Они не шутят...)
[5764] "Какого хрена...?! Хоть предупреждайте!"
[5765] "Попадут — конец, так что головы не поднимать!"
[5766] "ALyCE, можешь снять их?"
[5767] "Ладно! В голову?"
[5768] "...По рукам, если получится. Поймаешь момент — целься в оружие!"
[5769] "Сдавайтесь! Сопротивление будет―!"
[5770] "Ублюдки... У нас тоже боевые патроны!"
[5771] "А! Анти-Асо открыли ответный огонь...!"
[5772] "Застыл! Не ожидал?"
[5773] "Поехали-и-и! Ба-а-ах!"
[5774] "Гхх-гаах...!"
[5775] "Попала!"
[5776] "Что за хрень...? Когда эти типы начали палить по нам на поражение...?!"
[5777] "Они вооружены автоматами...?
[5778] Р-разве раньше у них были не резиновые пули?"
[5779] "Гех...!"
[5780] "Нарушители... это Анти-Асо?!
[5781] Огонь без ограничений! Уничтожить!"
[5782] "Ой-ой, стрелковая бригада вышла на пикник?
[5783] Похоже, будет адская драка!"
[5784] "...Это был последний?"
[5785] "...Фух. Давайте заодно уничтожим их оружие."
[5786] "Значит, охрана раздобыла новые модные пукалки...?
[5787] Штурмовые винтовки! Вот это да."
[5788] "Хм... Как думаешь, Медико ещё жива?"
[5789] "Очень надеюсь... но кто знает?
[5790] Если она сопротивлялась, у неё могут быть серьёзные проблемы."
[5791] "Ке... Пули опасны только если попадают.
[5792] Давайте дальше."
[5793] "О-о! Там лестница!
[5794] Поднимаемся или...?!"
[5795] "Интересно, где Медико... Антенна, ты не перехватила никакого сигнала...?"
[5796] "Тч! Я знал, что это вы, шавки Анти-Асо!"
[5797] (Ещё охрана... С верхних этажей?)
[5798] "Слушайте, взрослые сейчас очень заняты.
[5799] Так что поторопитесь уже умереть!"
[5800] "Эй-эй-эй! З-зачем так пугать...?!"
[5801] "Ого. Интересно, что будет, если забрать у него эту большую штуку."
[5802] "Не время болтать. Атакуем!"
[5803] "Гвех, гехх... Фх..."
[5804] "Фу-у-ух... Э-это было близко..."
[5805] "Эхехех, они умеют нас развлечь."
[5806] "А!"
[5807] "Хм...? А-а, у того парня рация!
[5808] Э-э... Что нажимать...?"
[5809] "Антенна!"
[5810] "Я разберусь!"
[5811] "Итак, мы в кабинете директора на третьем этаже, и, пожалуй, самое время взяться за эти две гигантские дыни — её огромные, прекрасные груди!"
[5812] "Ах! Нет! Н-не-е-ет!"
[5813] "Вы гляньте, какой объём, какая упругость!
[5814] Она всё ещё держится, так что придётся пустить в ход новейшее оружие — препарат S!"
[5815] "Посмотрим, как после этого изменится ход боя... Ну же, чувак, чего копаешься?
[5816] Мне уже надоело ждать!"
[5817] "Н-не смейте меня трогать... Нет...!
[5818] К-кто-нибудь... С-спасите...!"
[5819] "Расслабься, мы просто знакомимся! Са-а-амое интересное ещё впереди..."
[5820] "...Третий этаж. Быстро."
[5821] "Ааа... Ах! Н-не-е-ет! Не надо! Не на-а-адо...!"
[5822] "Эй, уймись, а...? Начнём с одной дозы. Похоже, штука сильная."
[5823] "Нет, не трогайте меня...! Нет! Не-е-ет!"
[5824] "Боевая, а...?"
[5825] "Может, сперва вколем миорелаксант?
[5826] А, но тогда она вся обмякнет... Хм.
[5827] Давай попробуем―"
[5828] "О, вернулся? Как раз вовре―"
[5829] "А?"
[5830] "Гухх!"
[5831] "А? Т-ты―!"
[5832] "..."
[5833] "Гоххх!"
[5834] "Хииих! Мой пистолет! Мой пистолет... Гаххх...!"
[5835] "...Скотина."
[5836] "Стой! Стой...! Я не, то есть никто не...!"
[5837] "..."
[5838] "Бхххбх!"
[5839] "А-а... ах..."
[5840] "Старшая сестрёнка Медико-о-о!"
[5841] "ALyCE..."
[5842] "А-а... Ты в порядке?
[5843] Тебя не ранили?"
[5844] "...Д-да... Я в порядке... Спасибо..."
[5845] "Хироши Тайсоджи. У тебя есть информация о нём?
[5846] Где она?"
[5847] "О-о ком ты говор―"
[5848] "Гьяаааааааа!"
[5849] "Раз ушами не пользуешься, они тебе не нужны.
[5850] Одно осталось, так что слушай внимательно. Иначе это может быть последнее, что ты услышишь."
[5851] "...Т-там! Всё в той коробке!
[5852] Б-берите всё, ч-что нужно!"
[5853] "Эй, Джокер. Прости, у меня руки заняты.
[5854] Можешь проверить ту коробку за меня?"
[5855] "Ладно!"
[5856] "Уничтожьте всё остальное в комнате, включая шкаф с лекарствами."
[5857] "Ладно!"
