[12490] "Ну что ж..."
[12491] "А, Братик!
[12492] Тебе уже лучше?"
[12493] "Да, намного лучше..."
[12494] "Дай гляну, дай гляну! Хья!"
[12495] "Гхх! Н-Не тряси меня, Антенна...!"
[12496] "Хм? Всё ещё выглядит не очень.
[12497] Ну-ка, ну-ка..."
[12498] "Т-Ты нарочно... Кхе!"
[12499] "Т-Ты в порядке, Кума...?
[12500] Принести тебе попить...?"
[12501] "...Э-э, ячменного чая. Горячего, если можно."
[12502] "Х-Хорошо!"
[12503] "О! Я тоже помогу!"
[12504] "Кстати, я просматривал наши счета...
[12505] Ты промышляла за меня, пока меня не было?"
[12506] "А, д-да... Прости, что без твоего разрешения..."
[12507] "Нет, я тебе благодарен. Это уберегло нас от провала."
[12508] "Мы скоро возьмёмся за дело?"
[12509] "Да, раз уж Асоги первыми сделали ход со своей кампанией по уборке города."
[12510] "Эти тяжёлые роботы и та жёсткая бригада? Совсем не чета обычной охране."
[12511] "Да, и охрану продолжают усиливать.
[12512] Хотя пробиться мы всё равно сможем."
[12513] "Асоги взялись всерьёз. Они бросили все ресурсы на то, чтобы провести эту уборку по всему городу."
[12514] "Такими темпами все кланы... включая Наюту...
[12515] сотрут ещё до дня рождения Основателя."
[12516] "Ах..."
[12517] "До сих пор казалось, что они всё делают спустя рукава, но теперь они запели иначе. Надо действовать, так что давайте―"
[12518] "Погоди-погоди, Кума.
[12519] Не будем гнать лошадей."
[12520] "...Заппа?"
[12521] "Ты знаешь, как я люблю хорошую драку...
[12522] но сперва тебе нужно полностью восстановиться."
[12523] "На движениях это не скажется. К тому же не можем же мы просто сидеть сложа руки..."
[12524] "Ты потянешь ещё одну заваруху вроде той, на лайнере? Следующая будет решающей."
[12525] "..."
[12526] "Сначала разминайся, потом наращивай понемногу.
[12527] Иначе мне придётся разыграть карту вожака и заставить тебя отдыхать."
[12528] "За восстановление отвечает Медико, а Кикучиё займётся усмирением."
[12529] "Я?!"
[12530] "...Если это приказ сверху, мне остаётся лишь подчиниться, хотя порученным долгом я не вполне довольна."
[12531] "Эй..."
[12532] "Но... тебе правда не стоит―"
[12533] "―Знаю. Мне тоже не хотелось бы попасть под руку Кикучиё."
[12534] "И что это должно означать?"
[12535] "О, гляньте на время.
[12536] Мне пора на работу."
[12537] "О-о, ты что, уже снова за работу?"
[12538] "Ну, это ведь моя работа..."
[12539] "...Ты хоть что-нибудь из слов Заппы услышал?"
[12540] "Считай, что это реабилитация. Я всё это время только и делал, что спал."
[12541] "Спал? Всё время?
[12542] И в каком именно смысле спал?"
[12543] "...Кхм, мне пора."
[12544] "Ну и ладно. Джокер, а ты сходи с ним, посмотришь, как он работает."
[12545] "А? А-а..."
[12546] "...Я не против. Я ещё восстанавливаюсь, так что помощь не помешает."
[12547] "Х-Хорошо!"
[12548] "Хм-хмхмхм-хмм..."
[12549] "...О, Антенна, ты ещё здесь?"
[12550] "А, Кума. С возвращением! Я тут вожусь с шифрованием ГЕБЕРа."
[12551] "...Надеюсь, они снова не застанут нас врасплох, взяв да усилив охрану ещё сильнее."
[12552] "Ухахахаха! Не бойся! Алгоритм, может, и крепкий, но изменить его невозможно."
[12553] "Правда? Значит, всё в порядке."
[12554] "Ага. Я достигла просветления!"
[12555] "То есть ты совершила...
[12556] какой-то огромный прорыв?"
[12557] "Ага! Если объяснить так, чтобы понял кто угодно, — я, похоже, изменила будущее криптографии."
[12558] "Это... поразительно..."
[12559] "Вот я и думала, как мне быть...
[12560] Мастер-ключ ценен лишь потому, что в мире он ровно один."
[12561] "Но отбросить современное общество к исходной точке и смотреть, как весь мир погружается в хаос, было бы весьма забавно."
[12562] "...Тебя это тревожит?"
[12563] "Хмм, не особо. Пока мне просто хочется с ним повозиться."
[12564] "Ясно. Это на тебя похоже, Антенна."
[12565] "Я готова повторить заход на лайнер хоть сейчас! В этот раз та дверь будет проще простого!"
[12566] "Верно, надо снова подняться на борт «Анепика»..."
[12567] "..."
[12568] "Эх... Мы снова вернулись с пустыми руками..."
[12569] "Ну, ноутбук Аояги мы всё-таки украли, вот только Антенна уже взломала ГЕБЕР..."
