[15476] "Гьяааах!"
[15477] "Кхх! Этот снайпер...! Осторожно!
[15478] Они целятся по нашим фонарям!"
[15479] "Гррррхххх...! Ни черта не видно... Дёрнемся — сразу схлопочем..."
[15480] "Эй, тащи инфракрасные очки!
[15481] И поосторожнее со светом!
[15482] Никакой стрельбы, приготовить электродубинки!"
[15483] "Е-Есть!"
[15484] "Если мы не выполним прямой приказ господина Кадзутаки взять их живыми, кто знает, как нас за это накажут...?"
[15485] "Так, продвигаемся осторожно. Мы не знаем, откуда они по нам бьют..."
[15486] "Фух! Мы всё-таки вырвались!"
[15487] "Хех! Вот балбесы! Пусть хоть навечно там торчат и тупят!"
[15488] "Они так перепугались, решили, что по ним снайперит ALyCE... Здорово мы их!"
[15489] "Ты замок закрыл?"
[15490] "А то! Времени это выиграет немного, но уйти нам должно хватить."
[15491] "Ладно... Хорошо, что мы поставили те электрозамки."
[15492] "Н-Но надо же: только мы собрались вторгнуться в их штаб-квартиру, как они вторгаются к нам на базу..."
[15493] "Может, они всё это время знали, где мы."
[15494] "Не знаю... но я здорово перепугалась...!"
[15495] "Кех! Да какая разница?!
[15496] Сегодня всё равно День атаки, так? Погнали!"
[15497] "Да, ты права. Надо ударить по штабу Асоги, пока они нас не нагнали!"
[15498] "Х-Хорошо!"
[15499] "...Не могу отделаться от мысли, что они с нами не в полную силу. Там не пахло боем насмерть."
[15500] "Да, у меня то же чувство, но разбираться некогда. Мы уже выбиваемся из плана."
[15501] "Дальше Звериный переулок, верно?"
[15502] "Да, и кто бы или что бы нам ни попалось, мы проломимся насквозь...
[15503] Выдвигаемся."
[15504] "Стой!"
[15505] "Ваах-вавах! Ч-Что случилось?!
[15506] Мы не туда идём?!"
[15507] "Нет, но... смотри."
[15508] "Аах..."
[15509] "Это один из тех роботов...
[15510] И охраны сколько..."
[15511] "Мы слишком долго собирались... а они отклонились от своего обычного маршрута."
[15512] "И что будем делать?
[15513] Не можем же мы просто тут стоять!"
[15514] "Да, ты права, но..."
[15515] "Пора для пиф-пафа?"
[15516] "Нет. Мне очень не хотелось бы ввязываться в драку с таким количеством охраны..."
[15517] "А обойти как-то можно?
[15518] Куда ни сунься — везде Асоги!"
[15519] "..."
[15520] "Эй, а вы чего это по улицам шатаетесь?"
[15521] "Шиназу...?! Клан Шинономе...?"
[15522] "Ты этот пистолет на пикник с собой прихватил?
[15523] Слыхал, сегодня вечером большой праздник."
[15524] "А-А? Черти?!
[15525] Нас сейчас будут бить?!"
[15526] "..."
[15527] (Тц! Дело дрянь...! Что делать...?!)
[15528] "Дурень! С чего бы кланам анти-Асо резать друг друга, когда есть кого резать у Асоги?"
[15529] "А?"
[15530] "Народу там до чёрта.
[15531] У нас всё равно дел негусто, а размяться не помешает."
[15532] "...Шиназу?"
[15533] "Аах, я бы и на поезде в них влетел, как вы тогда. Думаешь, они поверят, что мы психи настолько, чтобы провернуть тот же фокус дважды?"
[15534] "А? А...? Ты хочешь сказать, что поможешь нам?
[15535] ...Ты в душе-то, оказывается, добряк?"
[15536] "Ты дурак? Наш враг с самого начала — Асоги!"
[15537] "А вы делайте что хотите! Хотя не представляю, что кучка детишек может без своего главаря..."
[15538] "Погнали, ребята!"
[15539] "Есть! Бойцы, клинки наголо!"
[15540] "Шиназу!"
[15541] "Гх..."
[15542] "Когда всё уляжется, я заберу клан Шинономе обратно.
[15543] И мне всё равно, что ты об этом думаешь."
[15544] "..."
[15545] "Я буду делать то, что хочу, и то, что должна, и готова скрестить с тобой клинки, если придётся."
[15546] "...Хах! Посмотрю я на это."
[15547] "А теперь... идём дальше. Они прорубят нам дорогу."
[15548] "...И на тебя Наюта повлияла, а?"
[15549] "Это всё из-за тебя... из-за вас всех."
[15550] "Похоже, тебе тут умирать нельзя, а, Шиназу?"
[15551] "...Ну ты и балда. С каких это пор меня можно убить?
[15552] Ты за кого меня вообще держишь...?"
[15553] "Обнаружены анти-Асо! К бою!"
[15554] "Я Шиназу Непобедимый!
[15555] А теперь в атаку-у-у-у-у!"
[15556] "Аах, ну опять!"
[15557] "Аррргхх! Да сколько же тут этой охраны?!"
[15558] "Тут уж ничего не поделаешь. Придётся пробиваться!
[15559] Постарайтесь слиться с прохожими и―"
