[10562] "Мечеными...?"
[10563] "Мой кореш Марк из соседнего класса?
[10564] ...Не, вряд ли это он."
[10565] "Кто?"
[10566] "Значит, наёмники... Пора бы им повзрослеть.
[10567] Нечего им гоняться за нами, любителями."
[10568] "Ну, лучше бы держаться от них подальше, но если уж случайно наткнёмся, тогда, видно, придётся драться!"
[10569] "Чёрт побери. Не радуйся ты так, Заппа."
[10570] "Жить куда легче, когда ждёшь с нетерпением всего, что бы ни случилось!"
[10571] "Хех! Ладно, а я пойду мастерить новое оружие!"
[10572] "...Мм."
[10573] (...? Кикучиё...)
[10574] "Хмм? Ты куда? В уборную?"
[10575] "По делу."
[10576] "А... Б-береги себя!"
[10577] "Кикучиё!"
[10578] "..."
[10579] "Ты идёшь к клану Шинономе...
[10580] то есть к своей сестре?"
[10581] "...А ты хорошо угадываешь, да?"
[10582] "Вот только я не знаю, что ты задумала."
[10583] "..."
[10584] "Мне пришло послание от приспешников Цуины.
[10585] Там сказано, что они на круизном лайнере «Анепик» и что она хочет решить всё один на один..."
[10586] "В семье Мибу есть давний закон.
[10587] Когда двое из семьи не согласны друг с другом, они должны разрешить спор клинками."
[10588] "То есть ты собираешься..."
[10589] "Я знаю. Это западня...
[10590] но я должна остановить Цуину."
[10591] "Тогда позволь нам пойти с тобой.
[10592] Тебе не обязательно идти одн―"
[10593] "Она моя―!"
[10594] "...Это моя беда, и я разберусь с ней по-своему.
[10595] Я не хочу, чтобы даже ты... вмешивался."
[10596] "Грк...!"
[10597] "Ты не имеешь никакого отношения к семье Мибу."
[10598] "Да, но..."
[10599] "Я должна... идти своим путём как Мибу, а по нашей традиции испытания встречают в одиночку."
[10600] "...Я понимаю, что дурно действовать самовольно, состоя в Наюте, но если ты этого не позволишь, тогда..."
[10601] "...В Наюте нет правил.
[10602] Мы делаем что хотим."
[10603] "Правда? В таком случае я...
[10604] я так и поступлю."
[10605] "...Поступишь?"
[10606] "...Да."
[10607] "...К-Кикучиё... я..."
[10608] "Кума, не надо... Я..."
[10609] (Я вовсе не собиралась так говорить...
[10610] да и не хотела этого говорить...)
[10611] "...Забудь. Обещаю вернуться...
[10612] Прости меня."
[10613] "...Кикучиё..."
[10614] "Значит, это здесь... Если тут есть западня, то самое время им―"
[10615] "Шиназу..."
[10616] "Тц... Что этот дурень творит...?"
[10617] "Ты пришёл меня встретить?"
[10618] "Не-а. Боюсь, дальше дороги нет."
[10619] "Кое-кто из наших наткнулся на Кикучиё и прогнал её. Больше я Цуине ничего не скажу."
[10620] "...Вот как?"
[10621] "Прости... но я не могу это принять.
[10622] Я должна исполнить свой долг... как Мибу."
[10623] "...Что ж, видно, остаётся только одно..."
[10624] "Твоя аура изменилась... Она стала..."
[10625] "Я не дрогну. Я срублю любого, кто встанет у меня на пути!"
[10626] "...Тогда поглядим, как ты устоишь!"
[10627] "...И Кикучиё отправилась туда, где Шинономе, так?"
[10628] "...Да. Я не смог её остановить."
[10629] "Ох, ну надо же. С тех пор как у клана Шинономе новый главарь, от них одни неприятности."
[10630] "...Ага. Они видят в этом городе шведский стол «грабь сколько влезет»."
[10631] "Асоги и Flattt в последнее время тоже притихли.
[10632] Надеюсь, они посидят тихо ещё немного."
[10633] "..."
[10634] "...Кстати говоря, кто-то раньше упоминал, что в одном из кланов есть человек Асоги, разве нет?"
[10635] "Мурасаки всё выдумала, или среди нас правда где-то есть предатель...?"
[10636] "...Сдаётся мне, это была просто брехня, которую Асоги пустили, чтобы нами вертеть."
[10637] "Да, я думала о том же."
[10638] "...Но если предатель и правда есть, что нам делать? А если он в Наюте?"
[10639] "..."
[10640] "Я не могу припомнить в Наюте никого, кто не делал бы что вздумается."
[10641] "Если ты из Наюты и делаешь что хочешь...
[10642] то ты не можешь быть шестёркой Асоги, верно?"
[10643] "Хаха! Пожалуй... Наверное, ты права."
[10644] "Но в таком случае... что тебя гложет?"
[10645] "...?"
[10646] "Ты же сам сказал: мы вольны делать что угодно. Мы никому не навязываем правил, так что ты не имел права останавливать Кикучиё."
[10647] "..."
[10648] "Но тебя это всё равно не устраивает, верно?"
[10649] "...Я не знаю, как мне следовало поступить."
