[15816] таким, чтобы меня это устраивало."
[15817] "...Понятно."
[15818] "А ты, Заппа? Ты ведь спустился в самые низы, к анти-Асо. Это же был не просто подростковый бунт?"
[15819] "Ты не прошёл бы с нами весь этот путь... будь оно только так."
[15820] "...Тут ты прав."
[15821] "Мне надо было снова начать дышать. Хотелось сбежать от здешних мерзавцев... и остаться там, где мне хорошо."
[15822] "А потом я―"
[15823] "Ну же, босс. Ты сколько ещё собираешься дрыхнуть? Из-за тебя всё стоит."
[15824] "Да... Твоя правда..."
[15825] "Г-Господин Кадзутака..."
[15826] "Простите, ребята."
[15827] "Гхбооооаааахх!"
[15828] "Полежи-ка немного за меня... Да уж, тут скучно, как и всегда."
[15829] "Заппа...?! Хех, вот это уже похоже на тебя!"
[15830] "Ага! Стоило тебе нацепить эти дурацкие очки — и будто ты никуда и не уходил!"
[15831] "А? Ты сейчас мою оправу оскорбил?"
[15832] "Кстати, а тебя это всё устраивает, Кикучиё? Он же из Асоги..."
[15833] "...Прости, что? Какого ответа ты от меня ждёшь?"
[15834] "Да я просто тебя поддразниваю!"
[15835] "Готовы?"
[15836] "Да, пора на охоту!"
[15837] "Мы ведём репортаж из Асоги-Сити, где проходит грандиозная церемония в честь дня рождения Ёрозу, основателя группы «Асоги»!"
[15838] "Говорят, Ёрозу родился ровно в полночь, и, кажется, весь город затаив дыхание ждёт обратного отсчёта!"
[15839] "Какие чувства испытывают горожане в преддверии судьбоносной минуты?
[15840] Давайте узнаем!"
[15841] "А? Что я чувствую? Я чувствую одну лишь благодарность!"
[15842] "Величием Асоги и нашей благополучной жизнью мы обязаны господину Ёрозу!"
[15843] "Я в полном восторге! Кажется, очередь вот-вот двинется..."
[15844] "Как видите, все горожане, участвующие в церемонии, с нетерпением ждут её начала!"
[15845] "Что ж, а теперь отправляемся на главную площадку!"
[15846] "...Фух."
[15847] "Она ушла?"
[15848] "Ага. Но ты запорол ответ.
[15849] Надо было не «Я чувствую одну лишь благодарность!», а «Я испытываю чрезвычайную благодарность!»"
[15850] "Гех?! Серьёзно?! Чёрт! И что мне завтра скажут...?!"
[15851] "Меня же не накажут за неуважение к компании...? Не из-за одной же оговорки?!"
[15852] "Не знаю... Это всё-таки День рождения Основателя.
[15853] Нам ведь выдали текст на случай, если будут задавать вопросы."
[15854] "Аааргх, да вы издеваетесь...
[15855] Пожалуйста! Дайте переписать отве-е-ет!"
[15856] "Кхх! О-Откуда взялись эти анти-Асо?!
[15857] Как они вообще прорвались в штаб, и именно сегодня...?!"
[15858] "Огонь! Если надо — убить их!"
[15859] "Вам конец! Отведайте моей техники «тревога где-то вдалеке»!"
[15860] "А?! Что это было...?!"
[15861] "Яаах!"
[15862] "Гуааах!"
[15863] "Слишком медленно. Слишком вяло...!"
[15864] "Нгххх...?! Ках-хах...!"
[15865] "Отлично! Огня со стороны противника больше нет!"
[15866] "Кхх! Ах ты...!"
[15867] "Получай! Уда-а-ар снежного человека!"
[15868] "Гхх-гахах... Аах... А...?
[15869] Г-Господин Кадзута...ка...?"
[15870] "Так, и кто бы это мог быть, а?"
[15871] "Мы их всех уложили! Видали, на что способна Наюта, когда мы вместе?!"
[15872] "И всё-таки без этого прикида уже не то, а, Заппа?"
[15873] "Ага. Чувствую себя как моряк, только что уговоривший банку шпината! Готов крушить черепа!"
[15874] (И где он держал свою форму...?)
[15875] "Ладно. Раз так — обрушим этот штаб."
[15876] "Ахахах! Давайте попробуем!"
[15877] "Так, Заппа, ты что-то слишком уж пришёл в норму...
[15878] Не забывай, что это вражеская крепость."
[15879] "Конечно, Кума! Ты ведь вовсе не рад, что он вернулся."
[15881] "...Это к делу не относится. У нас есть шанс крепко ударить по Асоги."
[15882] "Точно, точно! Раз Заппа снова с нами, можно взяться за вторую цель!
[15883] Сокровище, сокровище!"
[15884] "Сокровище?"
[15885] "Улики, которыми можно предъявить Асоги красную карточку."
[15886] "Раз тут столько журналистов Извне...
[15887] сегодня и есть тот самый день."
[15888] "Ты, случайно, не знаешь, где могут храниться такие данные или документы?"
[15889] "Аах, знаю... но Хисамицу уже принял на этот счёт меры..."
[15890] "Да ладно! А? Он что, уже знает, что мы задумали?"
[15891] "...Так или иначе, поискать всё равно стоит. Если хоть что-то попадёт нам в руки, что-нибудь да сделаем."
[15892] "В-Верно. Способ обязательно найдётся!"
