[9666] "Jeez. That's pretty heartless of you, you sinister sadist."
[9667] "I'm only rescuing him from the sin of ignorance."
[9668] "Kurohoro clan, the last of the guards have barricaded themselves up in the captain's cabin."
[9669] "Hey, that's great news! Don't kill 'em all before I get there!"
[9670] "...Oh dear."
[9671] "So this is the luxury cruise ship, the Anepic. It ain't half bad!"
[9672] "Tsuina, we've taken care of almost all the guards."
[9673] "Ooh, good shit. I couldn't stand staying in that shoddy dojo. This place is perfect for our new base!"
[9674] "This cruise ship is primarily used by Asougi elites. I suspect it's only a matter of days until they send reinforcements to reclaim it."
[9675] "Shut up, Hototogisu. If we're gonna end up negotiating later, it can't hurt for them to know they shouldn't fuck with us."
[9676] "...Right."
[9677] "Anyway, what's the situation with the two ALyCEs?"
[9678] "I've yet to hear from Uguisu and Yatsuhashi...
[9679] Aside from the Kurohoro, we are all assembled.
[9680] I suspect it's only a matter of time..."
[9681] "Keh! Those two aren't engaging in a little 'side benefit' mischief, are they? Kikiki!"
[9682] "..."
[9683] "Hmph. I thought they seemed weirdly into this, and sure enough... They're hopeless, huh!"
[9684] "I'll let you know as soon as I receive word from them. Excuse me..."
[9685] "...Hmm..."
[9686] "...Shinazu."
[9687] "Ahh, Hototogisu...
[9688] That's what you're going by, yeah?"
[9689] "Is there something... you wish to say to me?"
[9690] "Not particularly. I was just hanging around and havin' a smoke."
[9691] "In the absence of Miss Kikuchiyo, Miss Tsuina has stepped in to unite the clan.
[9692] Nothing strange about it. Wouldn't you agree?"
[9693] "...Yep."
[9694] "In order to defeat Asougi, we first need to unite the clans. Then we need to solidify our influence in the underground."
[9695] "...An' you figure beating Asougi's a priority?
[9696] Did Miss Tsuina tell you somethin' I didn't hear?"
[9697] "..."
[9698] "Hmph. Anyway, how many years has it been since you ran off together? Your hardship finally paid off, did it?"
[9699] "I wouldn't call it hardship.
[9700] Nor would I say that it has paid off."
[9701] "Tch... Hmph. There's no helping that guy."
[9702] "I could never call her back here, now...
[9703] This clan's got too rotten for her."
[9704] "Arrgh, shit! They're nowhere to be found!"
[9705] "We've searched all over for them..."
[9706] "They're in none of the Shinonome's familiar haunts... Tsuina, or rather her subordinates, are operating differently than the clan used to."
[9707] "I occasionally hear about the sounds of gunshots and a runaway vehicle over the guard's radio transmissions, but..."
[9708] "Ahh, was that what we were following after all those times? There didn't end up being any sign of anything."
[9709] "Hmmmm... Even when we find a lead, it vanishes in the blink of an eye."
[9710] "Losing sight of the car makes sense, but how the hell are those girls so fast...?"
[9711] "I brought the drinks, everybody!"
[9712] "Ahh, thanks. Here you go, Antenna.
[9713] Try not to let yourself get too worked up."
[9714] "Nmmh... Slurp-slurp. Ahh, the sweetness of the shake ripples through my brain."
[9715] "The little girl slurps on the white, sludgy liquid without a hint of concern on her face, the numbing sensation titillating her senses..."
[9716] "Bbbfff!"
[9717] "I-I don't wanna hear your gross narration!
[9718] You're putting me off my shake!
[9719] ...And whaddaya mean 'little'?!"
[9720] "I thought I'd 'shake' the mood up a little."
[9721] "Shake the mood up HOW?!"
[9722] "...Sorry, guys, I have to split.
[9723] There's still some things I need to buy at Mistress's store."
[9724] "Don't worry about it. You gotta head off and hustle, too, don't ya?"
[9725] "Ahh, if you're going there, I'll go with you!
[9726] I've got a few swappable parts I wanna pick up!"
[9727] "Okey dokey, you two have fun together!"
[9728] "Sure, it's more logical for us to move together than alone."
[9729] "As for the rest of us, we'll keep on searching!"
[9730] "Yeah, yeah. Honestly, it's kinda a drag, but I can't say that! Let's keep looking."
[9731] "Oh, give me your trash, guys!
[9732] I'll throw it away for everybody!"
[9733] "Thanks! Much appreciated... Hmm?"
[9734] "I am a cleaning robot, and I keep the streets clean. Let's target zero garbage as we look forward to the Founder's Birthday Ceremony."
[9735] "What is that?"
[9736] "A cleaning... robot?"
