[29894] (...Is it right for me to be doing this?
[29895] At this rate, I'm gonna...)
[29896] "Ngh... nnnh... Kuma, youu..."
[29897] "..."
[29898] "Dammit. If she keeps lying there like that, she's gonna catch a cold. Uhh, where did I kick those bedsheets to...?"
[29899] "All right, who's next?"
[29900] "Uhh, I think the only others that haven't gone yet are Kikuchiyo, Medico―"
[29901] "Oh, there you guys are... Sorry I'm late.
[29902] What are you guys up to?"
[29903] "―and Kuma, who just got here!"
[29904] "Phewwww, thank goodness...!"
[29905] "I was going to ask what all the excitement's about... but I see you've all got your weapons out."
[29906] "We're having a practice match.
[29907] Zappa suggested it..."
[29908] "Well, it is necessary for us to train for our hunts... so it's not a bad idea..."
[29909] "Ahh... If you had taken any longer to get here, I might have been made to battle against Kikuchiyo."
[29910] "That... wouldn't have ended well..."
[29911] "Okaaaaaaaaaaay! Now here's somebody who's really worth watching in the ring! Let's go, Kuma!"
[29912] "Fight!"
[29913] "You want me to fight one-on-one against Kikuchiyo...? I don't know, it's not that fun for me to imagine I'm in a real fight with her..."
[29914] "This is just a blunt sword meant for practice.
[29915] I shouldn't be able to cut you with it, but you should still be careful. I'm bad at holding back."
[29916] "Well... Let's do this, shall we?"
[29917] "So, Analyst Antenna, how do you think this match is gonna shake down?"
[29918] "Normally, you'd think there'd be no hope bringing a sword to a gun fight, but Kuma can't hit anything unless he's right up close."
[29919] "Yeah, he's a really bad shot..."
[29920] "It'd be hard for her to dodge his shot if he fired at point-blank range, right?"
[29921] "But this is Kikuchiyo we're talking about.
[29922] I bet she could even stop bullets in midair."
[29923] "She might not even get close enough for him to hit her."
[29924] "Hmm, nice knowing you, Kuma."
[29925] "N-No way... You can do it, Kuma!"
[29926] "A-Ahh, you should have slept a little longer."
[29927] "Good luck, Big Brother!"
[29928] "Don't just write me off like that... Jeez."
[29929] "That's right. If you started without us, there would have been trouble."
[29930] "Porno...? Torataro?"
[29931] "Ahh, welcome back!"
[29932] "Yep, we're back... Ghhh..."
[29933] "Now take a card."
[29934] "...What are they?"
[29935] "They're penalty game cards for whoever loses. C'mon, take it!"
[29936] "Penalty game cards...? I didn't even know they made things like that..."
[29937] "Kikuchiyo can draw it if you don't."
[29938] "Hmph... I suppose penalties are necessary every once in a while. I don't think it's such a bad thing."
[29939] "I choose this one."
[29940] "Your opponent..."
[29941] "...has to dress up in an idol outfit and sing for you..."
[29942] "...as you train them?"
[29943] "Oooooohh! Finally we got a real doozy!"
[29944] "Porno's really pulling no punches with these!
[29945] I think we can expect to see Kuma turn this one around! The visual image is just too humiliating!"
[29946] "Look..."
[29947] "Crap... All those cards are terrible.
[29948] I thought my one was bad..."
[29949] "You lost...? What'd you have to do?"
[29950] "Go up to a convenience store clerk, butt naked, and look at them suggestively while asking to borrow 100 yen..."
[29951] "...That's just sad for everybody involved..."
[29952] "Why didn't you get yourself arrested?"
[29953] "Don't ask me that with that disappointed tone in your voice!"
[29954] "Well, are we ready? Let's begin."
[29955] "...You're not reluctant at all, are you?"
[29956] "I have not trained all my life just to be disheartened by the mere mention of battle.
[29957] Don't underestimate me."
[29958] "All right, on my mark! Ready..."
[29959] "..."
[29960] "..."
[29961] (Hmm... Kuma doesn't seem to be particularly nervous, either. Regardless, he's no match for me.)
[29962] (That penalty game is nonsense... Training your opponent...)
[29963] (...I'd be... trained by... Kuma...? What kind of training is it, anyway...?)
[29964] (Ngh... Wait a moment. Judging from the way everybody reacted when they saw the card...
[29965] I dare say it's probably...)
[29966] "Staaaaart!"
[29967] "Ngh!"
[29968] "Ahh, oh no...!"
[29969] "Oooh, Kuma's charging straight in there!"
[29970] (He's well within range of her blade...)
[29971] "Ghhhhhh!"
[29972] "Nnngh!"
[29973] "Oooooh! Kuma pinned her down!"
