[8309] Даже мне... немного страшно, что тебя могут убить."
[8310] "Кума..."
[8311] "..."
[8312] "Мм... Ладно... Я хочу продолжать...
[8313] хотя бы ещё немного."
[8314] "...Ты уверена?"
[8315] "Мне было страшно... и это правда... выбило меня из колеи..."
[8316] "Но не всё так плохо... Быть бунтаркой вместе со всеми и творить безумства — весело!"
[8317] "Было бы так жалко всё это бросить..."
[8318] "..."
[8319] "И ещё... помочь другу...
[8320] звучит не так уж плохо."
[8321] "Я должна тебе за то, что ты спас меня сегодня...
[8322] так что, пока не почувствую, что отплатила, я... ну..."
[8323] "Это всё ещё может казаться поверхностным, но по крайней мере... я не пожалею."
[8324] "...Понял."
[8325] "Я, конечно, не хочу умирать... но...
[8326] ты ведь защитишь меня, да?"
[8327] "Да... насколько смогу."
[8328] "Эхехех!"
[8329] "Но постарайся хотя бы быть осторожнее.
[8330] Я не всесилен."
[8331] "Ну вот, взял и испортил момент!
[8332] Я всем расскажу всё, что ты сейчас выложил!"
[8333] "...Серьёзно, не надо. Это будет невыносимо.
[8334] Я не выдержу, если Заппа и остальные начнут всё время за меня переживать."
[8335] "...Никто не знает? Даже Заппа?
[8336] Даже Порно?"
[8337] "Да, я никому об этом не рассказывал."
[8338] "Хм... Правда...? Хочешь, чтобы я держала это в тайне?"
[8339] "...Это избавит меня от кучи проблем."
[8340] "Тогда взамен... ты тоже сохранишь в тайне то, что случилось сегодня?"
[8341] "Я и так собирался."
[8342] "Эхехех! Тогда..."
[8343] "Э-э-э-эй, вы дво-о-ое!
[8344] Не забывайте обо мне-е-е!"
[8345] "Торатаро?! Ты был здесь?!"
[8346] "Да, я был здесь!"
[8347] "...Прости, я совсем о тебе забыл."
[8348] "Не говори так прямо!
[8349] Я вообще-то очень старался, гад!"
[8350] "...Пф... Кехе, ахах-ахахахаха...!"
[8351] "Хи-хи-хи! Спасибо тебе тоже, Торатаро!"
[8352] "Что смешного? Хватит надо мной ржать!
[8353] Ты ещё должна мне за спасение твоей задницы."
[8354] "Мм... Мм-хм, конечно, когда-нибудь.
[8355] Эхе, ахахахахахаха..."
[8356] "...К чему ты клонишь?"
[8357] "А? По-моему, я ничего непонятного не говорю, господин Морияма."
[8358] "Оружие, которое выдают всей охране...
[8359] Те пистолеты, которые ты, возможно, пропускаешь мимо учёта.
[8360] Если бы несколько таких попали ко мне..."
[8361] "Ч-что?!"
[8362] "Я знаю, у вас есть пушки без ID-аутентификации.
[8363] Для внешних сделок или на крайний случай. Не прикидывайся дураком."
[8364] "Я-я высокопоставленный руководитель.
[8365] Я не могу сделать такое для Анти-Асо!"
[8366] "..."
[8367] "Чёрт... Я встретился с тобой только из-за нашего общего знакомого. Как ты вообще заставил его замолвить за тебя слово?"
[8368] "Просто. Он один из моих лучших клиентов."
[8369] "Что...?"
[8370] "Ну-ну, успокойся, Морияма.
[8371] Товар у меня есть. Несмотря на репутацию, я здесь не собираюсь никого кидать."
[8372] "Ты руководитель, но не самый верх.
[8373] Неужели откажешься от небольшой передышки?
[8374] Начальство ведь давит на тебя, да?"
[8375] "Мм, кх... Ну..."
[8376] "Я всё слышал! Во время последней реструктуризации руководству урезали зарплаты, верно? Как плохо верхушка обращается с трудолюбивыми лидерами вроде тебя."
[8377] "Н-но я не могу предать компанию!
[8378] Асоги — вся наша жизнь!"
[8379] "Ц-ц-ц! Это не предательство! Я прошу всего лишь, чтобы маленькая, крошечная, совсем ничтожная часть поставки загадочно пропала."
[8380] "Неожиданный и незначительный инцидент.
[8381] Такая мелочь даже не станет проблемой для большого руководителя вроде тебя, Морияма."
[8382] "Хм..."
[8383] "А потом, ну надо же... Вдруг карманы становятся чуть тяжелее. Просто удача. Какое совпадение!"
[8384] "Тебе нужно всего на мгновение закрыть глаза, и получишь хорошую толстую пачку денег. Никто не проиграет."
[8385] "Н-но если вдруг... выяснится, что я помог Анти-Асо..."
[8386] "А-а, об этом можешь не переживать.
[8387] Мы будем использовать их только в нашем бизнесе.
[8388] Проблем тебе не создадим, и наружу ничего не выйдет."
[8389] "Угх... Мм-гх―Ты уверен...?"
[8390] (Ну, охота ведь тоже часть нашего бизнеса...)
[8391] "...Oh, that's right! You like to play with girls, don't you, Moriyama? Just like your boy, or maybe a little less."
