[4786] "Mhmhmhm... Mhmhmhmhm...!"
[4787] "Yesss! I can't believe how lucky I am to run into that girl!"
[4788] "She was by far the biggest earner at Reach!
[4789] If we use her..."
[4790] "Mhmhmhm! Now I've got the wind at my back!
[4791] My goal might be closer than I expected!
[4792] Fight hard, Hina!"
[4793] "...Huh...?"
[4794] "You're finally here."
[4795] "Porno. What are you doing here...?"
[4796] "Kuma. Let's go to Amor."
[4797] "You mean the shopping mall?
[4798] You wanna go shopping or hunting?"
[4799] "Either or... I don't care."
[4800] "Either or...?"
[4801] "Wow... That girl's so pretty."
[4802] "They don't look like brother and sister to me...
[4803] I wonder how they know each other..."
[4804] "...Anyway, let's get away from here.
[4805] You're attracting attention."
[4806] "..."
[4807] "Also, I'm not sure Amor is a good idea.
[4808] The security would be pretty strict there.
[4809] It doesn't seem particularly logical, but―"
[4810] "...Then it's fine. Forget I asked."
[4811] "If we're going, we should get prepa―huh?
[4812] Porno...? Hey!"
[4813] (...What's gotten into her?
[4814] She's been acting... weird, lately.)
[4815] "...I think that guy just got dumped..."
[4816] "..."
[4817] "Yikes!"
[4818] "We've arrived at the shopping mall!
[4819] Hmm, I'm detecting some fascinating waves wafting through the air!"
[4820] "This place is huge! I don't swing by this part of town too often."
[4821] "There's tons of stores in here, and there's so much to choose from! They've got shoes, bags―"
[4822] "But this was a very short-notice plan...
[4823] Are we hunting here?"
[4824] "Actually... we haven't decided on that yet."
[4825] "Huh? Such a vague answer...
[4826] Regardless, I'll go scout the area."
[4827] "Ahh! That store's got the new color!
[4828] Hey, hey, can I browse for a bit?!"
[4829] "Huh? Fine by me. You can do whatever you want for now."
[4830] "Yaaaay! Let's go, let's go!"
[4831] "In that case, um, I'll look around a bit, too.
[4832] If you need anything, please get in touch."
[4833] "Ooh, ooh! Let's go over there!
[4834] It looks so sparkly and cute!"
[4835] "Aaaah! D-Don't pull my aaarm!"
[4836] "Ru-ru-ru-ru! There are so many interesting waves around! I'm off, too!"
[4837] "Hey! Don't go wandering around aimlessly like that! Sigh... Guess I'm stuck dragging the kid around."
[4838] "Prepare to be punished!"
[4839] "Ah-aaaaaaaaaaahh?!
[4840] Why's my phone suddenly―?!"
[4841] "Wahahahaha! I blasted that embarrassing app on your phone at maximum volume!"
[4842] "Y-You fiend! Get back here!"
[4843] "All right, guess I'll mosey around too for a while, then..."
[4844] "..."
[4845] "Well, what about you? Was there somewhere you wanted to go...?"
[4846] "..."
[4847] "What's the matter, Porno? Did, uhh... something happen recently?"
[4848] "No, nothing. I've just been thinking...
[4849] That's all."
[4850] "...Oh. Well, as long as that's all."
[4851] "After Nayuta destroyed Reach..."
[4852] (...Reach? Now there's a name I haven't heard of in a long time...)
[4853] "...When you picked me up, I thought you were going to start hustling me, as well...
[4854] but for some reason, you didn't."
[4855] "Instead... I became your teacher...
[4856] and started helping you with hunting..."
[4857] "Yeah. And now... You're one of us."
[4858] "Ah...
[4859] I see."
[4860] (Ahh... So what's what I wanted to...)
[4861] "Porno?"
[4862] "Never mind. In that case, I need you to stay devoted to your training, Kuma."
[4863] "...Just don't drag me into the public toilets here to take another one of your tests, okay?"
[4864] "Oh-ho."
[4865] "..."
[4866] "That wasn't what I was implying, but if you're feeling up to it, then that's fine by me."
[4867] "That's not what I was implying, either...!
[4868] Stop pushing me!"
[4869] "You should be honest with your desires.
[4870] It's important."
[4871] "Get off... I thought you had some kind of reason to come here!"
[4872] "Ah, right. Apparently there's an independent hustling group around here."
[4873] "...What?"
[4874] "Uh-huh?"
[4875] "Zappa? Where'd you come from?
[4876] You in a hunting mood?"
[4877] "Yep! You wanna do this?"
[4878] "Yeah, let's."
[4879] "Then that's what we'll do. It's decided!"
[4880] "You too, Porno...? Well, if you say so."
[4881] "All riiight! I'll round everyone up!
[4882] It's time for the main event!"
[4883] "Yeah."
[4884] "We've arrived at the shopping mall!
[4885] Hmm, I'm detecting some fascinating waves wafting through the air!"
