[4786] "Мхмхмхм... Мхмхмхмхм...!"
[4787] "Да-а-а! Не верится, как мне повезло встретить эту девушку!"
[4788] "В Reach она приносила больше всех денег, причём с огромным отрывом!
[4789] Если мы её используем..."
[4790] "Мхмхмхм! Теперь удача на моей стороне!
[4791] Цель может оказаться ближе, чем я думала!
[4792] Борись, Хина!"
[4793] "...А...?"
[4794] "Наконец-то ты пришёл."
[4795] "Порно. Что ты здесь делаешь...?"
[4796] "Кума. Пойдём в «Амор»."
[4797] "В торговый центр?
[4798] Хочешь за покупками или за добычей?"
[4799] "Неважно. Хоть то, хоть другое."
[4800] "Или то, или другое...?"
[4801] "Ого... Какая красивая девушка."
[4802] "На брата и сестру они не похожи...
[4803] Интересно, откуда они друг друга знают..."
[4804] "...В общем, давай уйдём отсюда.
[4805] Ты привлекаешь внимание."
[4806] "..."
[4807] "К тому же я не уверен, что «Амор» — хорошая идея.
[4808] Охрана там наверняка серьёзная.
[4809] Идти туда не слишком разумно, но―"
[4810] "...Тогда не надо. Забудь."
[4811] "Если идём, нужно подгото― а?
[4812] Порно...? Эй!"
[4813] (...Что на неё нашло?
[4814] В последнее время она ведёт себя... странно.)
[4815] "...Кажется, того парня только что бросили..."
[4816] "..."
[4817] "Жуть!"
[4818] "Мы прибыли в торговый центр!
[4819] Хмм, чувствую в воздухе интереснейшие волны!"
[4820] "Место огромное! Я в этой части города бываю нечасто."
[4821] "Здесь куча магазинов и столько всего на выбор! Обувь, сумки―"
[4822] "Но мы собрались совсем внезапно...
[4823] Мы здесь охотимся?"
[4824] "Вообще-то... мы ещё не решили."
[4825] "А? Какой расплывчатый ответ...
[4826] В любом случае я осмотрю территорию."
[4827] "А-а! В том магазине появился новый цвет!
[4828] Эй, эй, можно я зайду посмотреть?!"
[4829] "А? Да пожалуйста. Пока делай что хочешь."
[4830] "Ура-а-а! Пошли, пошли!"
[4831] "Тогда, эм, я тоже немного осмотрюсь.
[4832] Если понадоблюсь, позовите меня."
[4833] "О-о, о-о! Пойдём туда!
[4834] Там всё такое блестящее и милое!"
[4835] "А-а-а! Н-не тяни меня за руку-у-у!"
[4836] "Ру-ру-ру-ру! Здесь столько интересных волн! Я тоже пошла!"
[4837] "Эй! Не шляйся где попало! Эх... Похоже, придётся присматривать за ребёнком."
[4838] "Готовься к наказанию!"
[4839] "А-аааааааа?!
[4840] Почему мой телефон вдруг―?!"
[4841] "Вахахаха! Я запустила на твоём телефоне то стыдное приложение на максимальной громкости!"
[4842] "Н-негодяйка! Вернись сюда!"
[4843] "Ладно, тогда и я пока поброжу..."
[4844] "..."
[4845] "Ну а ты? Сама куда-нибудь хотела...?"
[4846] "..."
[4847] "Что случилось, Порно? С тобой в последнее время... что-то произошло?"
[4848] "Нет, ничего. Я просто думала...
[4849] Вот и всё."
[4850] "...Понятно. Ну, если ничего не случилось, ладно."
[4851] "После того как Наюта уничтожила Reach..."
[4852] (...Reach? Давно я не слышал это название...)
[4853] "...Когда ты подобрал меня, я думала, ты тоже пустишь меня по клиентам...
[4854] но почему-то этого не сделал."
[4855] "Вместо этого... я стала твоей учительницей...
[4856] и начала помогать тебе на охоте..."
[4857] "Да. А теперь... ты одна из нас."
[4858] "А...
[4859] Понятно."
[4860] (А-а... Значит, вот что я хотела...)
[4861] "Порно?"
[4862] "Неважно. В таком случае продолжай усердно тренироваться, Кума."
[4863] "...Только не тащи меня в общественный туалет торгового центра на очередной тест, ладно?"
[4864] "О-хо."
[4865] "..."
[4866] "Я не это имела в виду, но если у тебя есть желание, я не против."
[4867] "Я тоже не это имел в виду...!
[4868] Хватит меня толкать!"
[4869] "Нужно быть честным со своими желаниями.
[4870] Это важно."
[4871] "Отстань... Я думал, ты не просто так сюда пришла!"
[4872] "А, точно. Похоже, где-то здесь действует независимая группа промысловиков."
[4873] "...Что?"
[4874] "Угу?"
[4875] "Заппа? Откуда ты взялся?
[4876] На охоту потянуло?"
[4877] "Ага! Делаем?"
[4878] "Да, давай."
[4879] "Тогда так и поступим. Решено!"
[4880] "Ты тоже, Порно...? Ну, если ты так говоришь."
[4881] "Отлично! Я всех соберу!
[4882] Пора переходить к главному!"
[4883] "Да."
[4884] "Мы прибыли в торговый центр!
[4885] Хмм, чувствую в воздухе интереснейшие волны!"
