[21784] Плечи ходили ходуном, тело Киракиры подрагивало, принимая его семя.
[21785] (Аах-аах, он кончает, так много...
[21786] Так, хорошо...)
[21787] Кап...
[21788] "Нннх...хах-фвах... хаах... хахих-хафхх-нгх..."
[21789] Когда напор его извержения ослаб, из липкого места, где соединились их тела, выплеснулось назад белое.
[21790] "Аах... хах-ахаха... Поверить не могу, что ты...
[21791] столько в меня кончил... на людях."
[21792] "...Ну, когда ты вот так вцепляешься в меня изо всех сил, чего ещё было ждать?"
[21793] "А? Аах, п-правда? Я так делала...?"
[21794] (Хотя... даже если бы и нет... устоять всё равно было бы непросто...)
[21795] "Хах... ах-нхх... фххх..."
[21796] Не найдя сил подняться, она осела на ослабевших, подгибающихся ногах.
[21797] "Отличная работа! Не забудьте забрать свои снимки!"
[21798] ...
[21799] ...
[21800] "..."
[21801] "Э-Э-э, я, кажется, немного перевозбудилась?
[21802] Эхехех!"
[21803] "Никаких «эхехех». Ты была слишком громкой!
[21804] Нас точно кто-нибудь слышал..."
[21805] "А-Ахаха! Может быть..."
[21806] "Проклятье, теперь мне там нельзя показываться... Да я вообще больше близко туда не подойду."
[21807] "Если тут что-нибудь случится, явится охрана. Попасться им, когда мы даже не на охоте, — это было бы просто позорище..."
[21808] "...Хмм... Вот."
[21809] "Киракира? Ты меня вообще слушаешь?
[21810] Может, ты―"
[21811] "Держи, Кума!"
[21812] "Это те самые снимки? Ну уж нет, не нужны они мне..."
[21813] "У-у! Но их же можно наклеить на телефон, будет мило!"
[21814] "...Эти? Так на них же мы с тобой заним―"
[21815] "Ага! Эта фотобудка отлично ретуширует. Интересно, как вышло..."
[21816] "Нгх-аах..."
[21817] (А? Погоди-ка... Н-Не может быть... Мы тут прямо влюблённая парочка...)
[21818] (У-Ува-аах, это же такой стыд...!
[21819] Н-Нет! Нет! Нет! Нет...!)
[21820] "Ааааа, знаешь, я передумала.
[21821] Лучше нам от них избавиться."
[21822] "Ага, дельная мысль... Ладно, я на работу."
[21823] "Хорошо, до встречи! Пока-пока!"
[21824] "..."
[21825] "...Хааааах..."
[21826] "Тьфу! И в итоге он снова всё вёл, так что я по-прежнему не удовлетворена..."
[21827] "А я-то надеялась заставить его застонать...
[21828] Ргх, вот же досада..."
[21829] "Ну... по крайней мере, было хорошо."
[21830] "Ой-ой... Эти снимки... это же безумие...
[21831] Да что за..."
[21832] "..."
[21833] "Так, надо их убрать подальше...
[21834] Уф, лицо просто горит..."
[21835] "Хмм... Наверняка так в любом деле, но осваивать новое всегда непросто..."
[21836] "Нам нужно чем-то отличаться от других кланов. А конкретно―"
[21837] "Хм? У Кумы с Порно опять закрытое совещание..."
[21838] "Эти двое вечно про работу, даже когда свободны."
[21839] "Они ведь обсуждают... промысел, да?
[21840] Ну, когда женщин используют для..."
[21841] "Да, Кума в это много вкладывает..."
[21842] "Хмм..."
[21843] "Слушай, Кума, а что, если попробовать зазывать на улице?"
[21844] "...Зазывать на улице?"
[21845] "Ага! Ну знаешь, чтобы кто-нибудь подходил к людям и такой: «Эй, господин, не хотите развлечься?»"
[21846] "А ведь и правда, мы так не делаем."
[21847] "Если хочешь, я могла бы этим заняться!
[21848] Своим обаянием я пробью их сердца навылет!"
[21849] "Ну конечно! Чтобы заманивать мужиков, нужна сексуальность."
[21850] "Что ты сказал?!"
[21851] "Хмм... Зазывать на улице, значит?"
[21852] "В этом городе таких по ночам особо и не встретишь, верно...?"
[21853] "Это потому, что наш промысел вне закона.
[21854] Понятно, что в открытую нам нельзя."
[21855] "Но если делать это как-то ненавязчиво... может, сработает? Вряд ли другие кланы захотят попробовать, так что дело может выгореть."
[21856] "Ну что ж, поглядим, как у тебя получится! Посмотрим, приведёшь ты кого-нибудь или нет!"
[21857] "Вот увидишь! Мы докажем, что ты не прав, да, Медико?!"
[21858] "А? А? Т-Ты хочешь, чтобы я тоже?!
[21859] Но почему?!"
[21860] "Похоже, они уже всё решили, Кума."
[21861] "И как мы вдруг до этого дошли...?"
[21862] "Так, я пробую первой."
[21863] "Эй, господин, я знаю тут одно славное местечко."
[21864] "Не хотите со мной? Хотите же, да?
[21865] Ну пойдёмте, пойдёмте. Пожалуйста!"
[21866] "..."
[21867] "Ты будто школьница, которая упрашивает подружку куда-то с ней сходить..."
