[8565] "...Рассказывай по дороге."
[8566] "...Понятно. Хорошо, критерии я понял.
[8567] Это всё, что ты хотела сказать?"
[8568] "Более-менее. Это было второстепенно.
[8569] Главное — я просто хотела увидеть твоё милое лицо."
[8570] "Значит, могла сказать по телефону."
[8572] "Угх, не будь таким жестоким. Я в последнее время так, так занята, мне самой нужно немного утешения."
[8573] "Папины объятия, к сожалению, закрыты."
[8574] "Угх, похоже, придётся купить твою любовь."
[8575] "Прости, у меня нет нужных навыков.
[8576] Это не моя роль в бизнесе."
[8577] "Не переживай. Просто делай, как я скажу, и карманные деньги приятно вырастут."
[8578] "Э-э, я не думаю―"
[8579] "О-о, вот ты где. Хьяах."
[8580] "Эй, Кума."
[8581] "Синадзу..."
[8582] "Что это? Свидание с торговкой оружием? Не знал, что ты по женщинам постарше. Хе!"
[8583] "Что?"
[8584] "Нет, и это не свидание. Я просто столкнулся с ней по дороге назад."
[8585] "Приветик, давно не виделись, господин Белые Глаза."
[8586] "Я Синадзу. Ты видишь меня постоянно.
[8587] Мы вообще всё время ведём дела!"
[8588] "Прости, прости. Как поживаешь?
[8589] Оружие нужно? Я совсем недавно до―"
[8590] "У нас достаточно, спасибо. Даже слишком много."
[8591] "...Хм! Я слышала, у вас сменилось руководство. Это как-то связано? Я вся внимание!"
[8592] "Слухи быстро расходятся. Но боюсь, мне нечем с тобой делиться."
[8593] "А-а, жаль... Ну, тогда мне пора."
[8594] "Хм, резко как-то."
[8595] "У меня ещё работа.
[8596] Угххх... Увидимся, Кума♪" "Пока."
[8597] "Похоже, она по тебе сохнет.
[8598] Но женщины так и ловят."
[8599] "...Я знаю. Так что тебе нужно?
[8600] Сомневаюсь, что ты пришёл просто поболтать."
[8601] "Да, верно. Мы раздобыли кучу опасного оружия и собираемся устроить бойню."
[8602] "...Вы обновили арсенал?
[8603] Я думал, вы держитесь мечей."
[8604] "Хм. Времена меняются.
[8605] Мечами больше не ограничимся."
[8606] "..."
[8607] "В общем, именно поэтому я пришёл сегодня предупредить тебя."
[8608] "Предупредить?"
[8609] "...Вам лучше уйти из города. Потому что в следующий раз, когда мы пересечёмся, будет кровавая баня."
[8610] "Это угроза?"
[8611] "Понимай как хочешь."
[8612] "Ты ждёшь, что я просто скажу: «А, ладно»?"
[8613] "Я прошу только подумать.
[8614] Ты же вроде весь из себя логичный..."
[8615] "...Если бы я мог думать здесь идеально логично, я бы тебе этого не говорил."
[8616] "И это тоже может быть логично...
[8617] Просто подумай!"
[8618] "Если расскажешь всё, что происходит, я подумаю."
[8619] "..."
[8620] "...Кикутиё всё равно вряд ли согласится.
[8621] Она ещё менее разумна, чем я."
[8622] "Ах ты..."
[8623] "Всё ведь из-за этого, да?"
[8624] "Не знаю почему, но ты нарочно сплавил Кикутиё к нам, верно?"
[8625] "Ты выгнал её не потому, что ненавидел.
[8626] Но... похоже, теперь что-то изменилось.
[8627] Это связано со сменой руководства?"
[8628] "И оружие тоже связано. В этом городе нельзя просто так получить огневую мощь в обход Госпожи."
[8629] "...Ты слишком умный для своего же блага, пацан."
[8630] "Но в любом случае, в следующий раз...
[8631] ты труп. Вот и всё."
[8632] "..."
[8633] "И кстати, Кума. Если заставишь госпожу плакать, я превращу тебя в корм для собак.
[8634] Обещание Синономэ."
[8635] "Не знал, что эта демоница умеет плакать.
[8636] Она не из таких, и в Наюте все нормально ладят."
[8637] "Я не о Наюте.
[8638] Я говорю конкретно с тобой, Кума."
[8639] "...Пока."
[8640] "...?"
[8641] "Ххих... Гьяаааааа!"
[8642] "Чёрт! Чёрт...! Почему наши пули ничего не делают...?! Гххаааааах!"
[8643] "..."
[8644] "Сменить построение! Держать позицию!
[8645] Держать цель в окружении и продолжать залп!"
[8646] "Стандартные стратагемы..."
[8647] "Обнаружение враждебной угрозы продолжается.
[8648] Увеличение мощности на двадцать процентов..."
[8649] "Расчёты..."
[8650] "Возобновление подавления."
[8651] "Жалкие... Вы мне противны!"
[8652] "О-о-о-о! Э-это бред!
[8653] Она отправила аппарат в полёт...!"
[8654] "Ещё хладнокровный конфликт?
[8655] Я уже насмотрелся!"
