[15648] "Ага, валите... Идите помирать."
[15649] "Мурасаки..."
[15650] "А?"
[15651] "Спасибо за помощь. Сомневаюсь, что мы забрались бы так далеко, не появись ты."
[15652] "Завали! Я же сказала, мы это только ради собственной выгоды!"
[15653] "Даже если из корысти — эта корысть нас всё равно спасла."
[15654] "...А ты наглый мелкий засранец, знаешь?
[15655] Вали уже отсюда."
[15656] "Ага."
[15657] "Хмф..."
[15658] "Это было на тебя не похоже."
[15659] "А? Да ерунда. Просто захотелось разок проникнуться праздничным духом."
[15660] "Ну, меня это не смущает. Я благодаря этому поиграла с Джокером, так что можешь быть не в своём амплуа сколько угодно."
[15661] "Хах! Иногда и по прихоти поступить недурно."
[15662] "К тому же... хмф... приятно утереть нос Асоги."
[15663] "Признаюсь, я удивилась, Мурасаки..."
[15664] "А?"
[15665] "Тебе ведь приятно, когда тебя благодарят, — как и всякому человеку, верно?"
[15666] "...Заткнись."
[15667] "Ааауф, как же я устал... Скоро уже начнётся?"
[15668] "Похоже, придётся ещё подождать.
[15669] Да и всё равно нам заняться нечем, так что можно спокойно подождать."
[15670] "Да уж, пожалуй. И ничего другого сейчас не сделаешь. Даже магазины все закрыты."
[15671] "Да, сегодня тут весь город до последнего человека, а...? Толпа немыслимая."
[15672] "Эй, слыхал новость? Говорят, у штаб-квартиры Асоги какая-то заварушка."
[15673] "А...? Кого-то «убирают»?"
[15674] "Тут ещё остались преступники?
[15675] Я думал, уборщики их всех вывели."
[15676] "Не-а. Подробностей не знаю, но вроде там по округе носилась какая-то машина."
[15677] "Чего? Они внимания к себе хотят, что ли? Их же в два счёта повяжут."
[15678] "А это, часом, не представление?
[15679] Ну, вроде аттракциона?"
[15680] "Да может и так. Хмм, наверное, ты прав. Не найдётся дурака, который выкинет такое безумие в день праздника."
[15681] "Благодарим за ожидание, уважаемые горожане!
[15682] Главная площадка открыта..."
[15683] "О, сейчас начнётся!"
[15684] "Надо скорее!"
[15685] "Итак... это нужный вход?"
[15686] "Вне всяких сомнений."
[15687] "Давайте уже быстрее!
[15688] Охрана идёт!"
[15689] "Погоди... Так, готово."
[15690] "З-Значит, вот она, штаб-квартира Асоги..."
[15691] "...М-Мне как-то не по себе вот так запросто сюда входить... А-ахаха..."
[15692] "Ковёр такой мягкий!"
[15693] (Настоящий первоклассный офис, а?
[15694] Но для остальных, кто здесь вырос, это наверняка значит куда больше...)
[15695] "Кех! Сейчас не время трястись от страха! Погнали уже!"
[15696] "Верно. Торчать здесь нельзя.
[15697] Пока действуем по обстановке. Идём."
[15698] "Куда мы?"
[15699] "К чему угодно, что похоже на секретные сведения... или туда, где Запп―"
[15700] "...Так вы всё-таки пришли."
[15701] "...!"
[15702] "Ты из руководства Асоги?!
[15703] Я снесу тебе го―"
[15704] "...З-Заппа...? Это ты, Заппа?!"
[15705] "Ч-Что?!"
[15706] "...Зачем вы сюда пришли?"
[15707] "А-Аах, э-этот голос... Это правда он..."
[15708] "Мумуму... Он выглядит как совершенно другой человек!"
[15709] "Значит, ты жив, да...?
[15710] Тогда пошли обратно."
[15711] "Обратно? Ты о чём?
[15712] Я и так дома."
[15713] "А-А...? Эй, ты чего это гово―"
[15714] "...Ты из Асоги, так?"
[15715] "Кажется, я раньше об этом не упоминал."
[15716] "Кадзутака Ямамото... Это моё настоящее имя."
[15717] "Ух...?!"
[15718] "Что...?!"
[15719] "Я-Ямамото...?! Ты шутишь...!"
[15720] "А? Эм, а что такого...?"
[15721] "Ямамото... э-это семья-основатель Асоги..."
[15722] "Что-о-о-о-о-о?!"
[15723] "...В этом городе больше нет никого с такой фамилией. Никто не посмел бы носить их имя."
[15724] "З-Значит, получается... Заппа...
[15725] потомок Асоги...?"
[15726] "Всего лишь сын из побочной ветви."
[15727] "Но ведь уже нет, правда, Заппа?
[15728] Ты с этим порвал."
[15729] "Я тоже так думал... и у меня были на то причины...
[15730] но, как выяснилось, я вообще ничего не понимал."
[15731] "Оказалось, анти-Асо с самого начала были частью их плана. Мы думали, что боремся с ними, а они всё это время на нас наживались."
