[24713] Почему ты всё ещё в этом...?"
[24714] "К-Кума... Я... э-э..."
[24715] (...Откуда такое напряжение...? Почему он ко мне приближается...?)
[24716] "О-о-оох..."
[24717] (Но... ого... Даже когда он говорит, совсем не кажется парнем...)
[24718] (Впрочем, он всегда был таким, но теперь...
[24719] Он женственнее некоторых девушек...)
[24720] "Э-э, ну, я, э-э, очень тебя уважаю, Кума..."
[24721] "И подумал, что хочу стать больше похожим на тебя.
[24722] У меня нет старшего брата, но, наверное, иметь его — это примерно так..."
[24723] "...Х-хорошо?"
[24724] "И-и я стольким тебе обязан... и-и ты столько раз меня спасал... э-э..."
[24725] "Тебе, э-э... не стоит об этом беспокоиться."
[24726] (К чему он, чёрт возьми, клонит...?!)
[24727] "И, э-э..."
[24728] "...Просто успокойся. Хватит ко мне приближаться...!
[24729] Е-если хочешь мне что-то сказать...
[24730] говори оттуда!"
[24731] "С-странно, что я это ношу, правда...?"
[24732] "Э-э, я-я не знаю...
[24733] Вообще-то тебе даже идёт."
[24734] "Нгх...! К-Кума... Я-я...!"
[24735] "Я-я больше не могу!
[24736] Я-я не могу так продолжать...!"
[24737] "Нгх?! П-погоди! Просто успокойся! В каком смысле больше не мо―?"
[24738] "Мне так сты-ы-ы-ы-ы-ы-ы-ы-ы-ы-ы-ы-ы-ыдно!
[24739] Ва-а-а-а-а-а-а-а-а-а-а-а-ах!"
[24740] "...А?"
[24741] "Бва-а-а-а-а-а-а-а-а-ахахахахаха!"
[24742] "Это было умори-и-и-и-и-и-и-и-ительно! Видел бы ты своё лицо!"
[24743] "Нгх-гах...! Это ты придумала?!"
[24744] "Ты выглядел таким растерянным, Кума...
[24745] Пфф. Ахахахахахахаха!"
[24746] "О, мы ещё долго будем над этим смеяться! Я всё записала!"
[24747] "Немедленно удали запись!"
[24748] "В-вы слишком много смеётесь... Бхх-кхх-пфф...!"
[24749] "Я говорила им, что это нехорошо, но... Ббхх-пхх-кихахаха...!"
[24750] "Но всё равно их не остановила...?!"
[24751] "Мы просто велели ему надеть платье и рассказать тебе о своих настоящих чувствах."
[24752] "Вы его запутали... Более того, вы полностью ввели его в заблуждение..."
[24753] "Но ведь было неплохо?"
[24754] "Что это значит?!"
[24755] "Кья-а, на меня напали. Похоть ослепила Куму, и теперь он нападает на меня-я-я."
[24756] "Да заткнись ты...!"
[24757] "Кстати, Джокер только что выбежал с базы, всё ещё в этом платье..."
[24758] "...Ну, никто ведь не станет за ним гоняться...
[24759] По крайней мере, надеюсь."
[24760] "Привет, красавица. Не хочешь куда-нибудь сходить со мной?"
[24761] "Кья-кья-а-а-а-а-а-а-а-а-а-а-ах! Кто-нибудь, помогите-е-е-е!"
[24762] "...Понял. Мы с Порно тоже собираемся возвращаться. С нами обоими всё в порядке."
[24763] "Ага... Я надеялся, что в центре доставки мы найдём что-нибудь поинтереснее, но ничего особенно необычного не попалось."
[24764] "...Чтобы узнать, что внутри, приходится открывать посылки одну за другой, но почти везде ерунда...
[24765] Книги и вещи для дома в огромных количествах."
[24766] "Ладно, понял. До встречи."
[24767] "Эх... Ну что ж..."
[24768] "Кума?"
[24769] "О, привет, Порно. Нашла что-нибудь ценное?"
[24770] "Угу, я нашла именно то, что мы искали.
[24771] Нечто по-настоящему драгоценное."
[24772] "Нечто драгоценное, значит...? Эй, погоди...
[24773] Это же просто..."
[24774] "Золотой приз. Несомненное сокровище."
[24775] "Это буквально обычная табуретка для душа!"
[24776] "Я понятия не имею, что это за загадочный предмет, поэтому можешь сесть на него ради меня?"
[24777] "Мы должны уходить. У нас нет времени валять дурака."
[24778] "Ну пожа-а-алуйста?"
[24779] "Ка. Те. Го. Ри. Чес. Ки. Нет."
[24780] "Тц."
[24781] "М-да... Она здесь вообще не нервничает?
[24782] Выглядит совершенно невозмутимой..."
[24783] "Кума?"
[24784] "Что на этот раз?"
[24785] "На этот раз я нашла настоящее сокровище."
[24786] "Нгх! Это просто вибратор!"
[24787] "Заострённый клинок, в котором особое внимание уделено крутящему моменту и резвым движениям, подобным движениям угря.
[24788] Должно быть, это священный меч судьбы."
[24789] "Где ты, чёрт возьми, это нашла...?"
[24790] "А теперь садись на табуретку и снимай штаны. Вперёд."
[24791] "Ты ведь не собираешься засунуть это в меня?!"
[24792] "А-а. Вместо этого ты хочешь засунуть его в меня?"
[24793] "Что―"
[24794] "Хочешь глубоко затолкать эту огромную толстую штуку в мою крошечную матку и как следует там всё разворотить?"
[24795] "Угу. Мне нравится твой настрой, Кума. Твоим садистским намерениям ещё есть куда расти, но..."
[24796] "У меня нет ни настроя, ни таких намерений."
[24797] "Бу-у, бу-у..."
