[11497] Ч-что это было?!"
[11498] "...Луч?"
[11499] "У-у него лазерная пушка...?
[11500] С каких пор такое вообще работает?!"
[11501] (Асо что, испытывает на нас новый образец...?!)
[11502] "Кааааааах! Надо убираться отсюда!"
[11503] "К-куда бежать?!"
[11504] "Туда, где нас никто не пытается прикончить!
[11505] Идём туда! Вон туда!"
[11506] "Это кого там ублюдки из Асо мусором зовут...?!"
[11507] "Тсуина, сюда!"
[11508] (Тсуина Мибу...! Сейчас нам её не достать...)
[11509] "Медико! Киракира! Помогите Кикучиё!"
[11510] "Ах, д-да!"
[11511] "Хватай её одежду, Порно! Наденем на неё верх, пока несём!"
[11512] "Ммм."
[11513] "Аааах! Что это вообще было?! Только мы решили, что Шинономэ безумцы, как Асоги выкатывает кое-что похлеще!"
[11514] "Похоже, им не терпелось похвастаться новой игрушкой...!"
[11515] "Ну и настырные же, чёрт возьми!
[11516] Не могли похвастаться сами перед собой?!"
[11517] "Ах―Торатаро! Ворота! Впереди!"
[11518] "...?! Это не висячий замок!
[11519] Это электронный!"
[11520] "Антенна! Твой выход!"
[11521] "Позови по имени — и я явлюсь!
[11522] Ру-ру-но-ру! Мигом открою..."
[11523] "Ах, придумала! А что, если, пройдя, мы запрём ворота за собой?! Те ребята тогда, наверное, не пролезут!"
[11524] "Ага, а если там тупик, что делать?!
[11525] Ну, можно будет вернуться той же дорогой, когда они уйдут...
[11526] А?"
[11527] "...Долго ещё, Антенна?
[11528] Обычно ты такие вскрываешь в два счёта..."
[11529] "...Н-не открывается...?
[11530] Ч-что здесь такое...?!"
[11531] "...Антенна?"
[11532] "Э-этого не может быть!
[11533] Делаю вот так, потом вот так, потом это, и...
[11534] А?! Ч-что это за шифрование...?!"
[11535] "Да ладно, ты шутишь...!
[11536] Сейчас не время для шуток!"
[11537] "Я-я справлюсь...! Сейчас же открою! Я должна... я должна...!"
[11538] (Есть какое-то смутное сходство...
[11539] со странно жёсткой защитой оружия у Асо...
[11540] но ещё... ещё...!)
[11541] "...?! Непробиваемый... щит...?
[11542] Система... ГЕБЕР...?!"
[11543] "...А? Ты сейчас сказала...?"
[11544] "Плохо дело! Антенна!"
[11545] "А?"
[11546] "Нет! Кума!"
[11547] "Гхх... Гхах-ках-хах...!"
[11548] "Сделаем этот город безупречно чистым — ради светлого Асо и прекрасного будущего..."
[11549] "Ста-а-арший брат! Старший брат Кума упал!"
[11550] "Кхх... Не открывается... Не открывается...!
[11551] Почему? Почему? Нгх...!"
[11552] "Аргх! Нгх... Все — прыгаем!
[11553] В то окно, куда вылетел Кума!"
[11554] "Но... какая там высота...?!"
[11555] "Некогда об этом думать!"
[11556] "...Мгх!"
[11557] "...Тц! Целевая группа «бета» покинула судно.
[11558] Выжили или нет — неизвестно. Приём."
[11559] "Цель: ноль мусора."
[11560] "Бухааааах!"
[11561] "Ах, хаах... М-мы выбрались...
[11562] З-зря я всё-таки не купила тот купальник... Апчхи!"
[11563] "Пппах, аааах!"
[11564] "Ах, Медико, ты выбралась!
[11565] Не знала, что ты умеешь плавать."
[11566] "Пожалуй, плаваю я... сносно."
[11567] "Спорим, эти два надувных круга помогают!"
[11568] "Ч-что ты хочешь сказать...?
[11569] И вообще, где все остальные...?"
[11570] "...Не знаю. Кумы я тоже... не видела..."
[11571] "Плыть в море ночью без единого огня...
[11572] Видно оказалось ещё хуже, чем я думала."
[11573] "...Ах!"
[11574] "Антенна...?"
[11575] "..."
[11576] "Её трясёт... Ты цела, Антенна?"
[11577] "...Э-это всё моя вина... Я н-не смогла взломать...
[11578] шифр... а потом Кума...
[11579] и-и все остальные..."
[11580] "Антенна..."
[11581] "..."
[11582] "Я... я... никому не смогла помочь..."
[11583] Тем временем в штабе Асо...
[11584] "Всё закончено?"
[11585] "Прошло без единой заминки. Подтверждаю: контроль над «Анепиком» возвращён."
[11586] "Отличная работа. Что там происходит?"
[11587] "Если не считать «Анепика»... на пристанях почти ничего не изменилось."
[11588] "Проклятье... Эти Чужаки, плюющие на правила, полагают, будто могут творить что вздумается... Как утомительно."
[11589] "Неужели они и впрямь думали, что мы не найдём чем ответить...? Неисправимы."
[11590] "Что ж, по крайней мере мы смогли испытать новый образец. Как он себя показал?"
[11591] "Группа Анти-Асо, называющая себя кланом Шинономэ, ушла, но понесла значительные потери. Кроме того, нам удалось задержать и допросить нескольких человек."
