[10650] "Чувствуешь, будто тебя отвергли?"
[10651] "...Наверное."
[10652] "Она велела мне не лезть в семейные дела... и я решил, что это, пожалуй, самый разумный выбор."
[10653] "Это потому, что Кикучиё за тебя волновалась, но тебя, должно быть, огорошило, когда она тебя не послушала, а?"
[10654] "...Не думаю, что она за меня волновалась.
[10655] И я не был огорошен..."
[10656] "Хмм... Что ж, человеческая душа — штука сложная."
[10657] "Она и в Наюту-то вступила лишь по стечению обстоятельств. Это была единственная возможность продолжать её анти-Асо дело."
[10658] "Хмм."
[10659] "И... честно говоря, мне не хочется считать себя деспотом."
[10660] "И всё же. Она ведь сказала, что вернётся?"
[10661] "Да, но..."
[10662] "Значит, она намерена остаться с Наютой, тебе не кажется?"
[10663] "Наверное..."
[10664] "Для неё... ну, Шинономе — это её семья...
[10665] а нас она считает друзьями."
[10666] "..."
[10667] "Делай что хочешь, малец. Здравые доводы — штука удобная, но держать лицо слишком долго утомительно, разве нет?"
[10668] "...Шиназу однажды сказал мне что-то похожее."
[10669] "Ого! Так я теперь несу то же, что и господин Шиназу? Видно, и впрямь старею!"
[10670] "Эээй, Заппа! У нас тут всё готово!"
[10671] "А, готово?"
[10672] "Тораторо..."
[10673] "А? Ты всё ещё здесь болтаешься?"
[10674] "...Вы идёте?"
[10675] "Конечно идём! Чёртова Кикучиё, заставляет нас за ней гоняться..."
[10676] "И нам, пожалуй, стоит поторопиться.
[10677] Судя по тому, что я слышала, хозяева они паршивые."
[10678] "..."
[10679] "Я буду делать что хочу. Плевать мне на её гордость и на самурайские причуды её семейки!"
[10680] "Или ты мне скажешь, что Наюта не может выступить без твоего разрешения?!"
[10681] "...
[10682] Нет, вы можете делать что угодно."
[10683] "Хех! Ну, раз идёшь, так поторапливайся уже! Гх, тяжко быть тем, кто за всё отвечает."
[10684] "...Идём!"
[10685] "..."
[10686] "Кихиких! Ах, слава богу, что ты такая законница. Ты правда решила, что я стану держаться нашей дурацкой семейной байды про один на один?"
[10687] "Ты не член клана Шинономе. Ты даже не часть семьи Мибу. Ты не более чем никчёмный мусор."
[10688] "Цуина, я требую, чтобы ты перестала своим безрассудством позорить имена Мибу и Шинономе."
[10689] "А?"
[10690] "Я не берусь утверждать, что понимаю твои чувства, но мы — единственные, кто остался от семьи Мибу.
[10691] Больше некому обходиться с тобой сурово."
[10692] "..."
[10693] "Предназначение клана Шинономе — с честью низвергнуть Асоги... Если же ты просто сводишь давние счёты..."
[10694] "Тц! Ты пальцем в небо!"
[10695] "Мне плевать на семью и на честь...
[10696] Думаешь, дело в обиде?!
[10697] Не нагоняй на меня скуку этой чепухой!"
[10698] "Всё, чего я хочу, — это разжиться до неприличия, пользуясь домашними игрушками и этими подонками, которых я подобрала Вовне."
[10699] "И раздавить твой клан — часть плана!
[10700] Я приберу к рукам подполье и заключу сделку с Асоги. Огневой мощи у нас на это хватит!"
[10701] "Что...?! М-мы ведём переговоры с Асоги...?!
[10702] Это возмутительно...!"
[10703] "Молчи, самурай. Хочешь, чтобы я тебя убила?
[10704] Ты ведь в долгу перед семьёй вожака, разве нет?"
[10705] "Оох... Кхх-нгх...!"
[10706] "А как только с этим покончим, сможем делать что душе угодно!
[10707] Может, будем грести деньги в подполье, но красоваться своей властью открыто тоже звучит заманчиво!"
[10708] "К чёрту Шинономе и к чёрту Мибу.
[10709] На колени, холопы! Я ваша королева, Цуина!
[10710] Кихихихиких!"
[10711] "..."
[10712] "Мне кажется, ты всё ещё одержима...
[10713] всё ещё связана нашей семьёй."
[10714] "...Что?"
[10715] "Зачем же ещё ты вызвала меня сюда?
[10716] Почему тебе так хочется бросить вызов нашей семье?"
[10717] "Если ты объединилась с наёмниками Вовне, то наверняка могла бы добиться своих целей где угодно ещё."
[10718] "...Так почему же ты решила вернуться...?
[10719] Разве тебе не хотелось отомстить родному городу?"
[10720] "..."
[10721] "Твои методы... нелогичны."
[10722] "...Ты в последнее время полюбила читать чужие мысли, да? А ведь была такой недалёкой принцессой-громилой."
[10723] "...Возможно, хитрость моих союзников передалась и мне."
[10724] "Молчи...! Хочешь знать почему?
