[15560] "Хмм? Это что...?"
[15561] "Вот чёрт! Они нас увидели!"
[15562] "...! Останавливаться нельзя.
[15563] Придётся прорываться силой!"
[15564] "Няаах! Кума, берегись!"
[15565] "...?!"
[15566] "Вааах! Большая машина!"
[15567] "Дом на колёсах?! Э-Это машина Асоги...?"
[15568] "Залезайте!"
[15569] "А? Flattt?! Мурасаки, ты―!"
[15570] "Вы же в штаб Асоги едете, не?
[15571] Ну так вот и такси подано!"
[15572] "Попа-а-ался, Джокер♪" "Ва-вававававаах!"
[15573] "Джокер, сволочь! Предатель!"
[15574] "Я-Я не понимаю, о чём она!"
[15575] "Кхх! Что тут происходит...?!"
[15576] "Ч-Что за―?! Эта машина―?!"
[15577] "Кума. По-моему, у нас один выход — залезть."
[15578] "...Чёрт...!"
[15579] "Ладно. Вывози нас отсюда...!"
[15580] "Так, все пристегнулись?
[15581] Тогда поехали!"
[15582] "Ух ты-ы-ы! Ни разу не видала Кюсэн-судзи такой пустой! Всё идёт отлично!"
[15583] "Мурасаки...? Эй, Мурасаки!"
[15584] "А? Заткнись, лейтенант.
[15585] Не ори на меня, когда я за рулём."
[15586] "Всё это как-то уж слишком удобно...
[15587] Ты ведь не собираешься продать нас Асоги?"
[15588] "...Кех, кихихихахахахаха! Да ладно, с чего ты взял, что я пойду на такую низость?! Ты чем-то недоволен?"
[15589] "...А?"
[15590] "Это потому, что Заппы нет? Думаешь, ты сейчас настолько лакомый кусок для Асоги, что они с нами сторгуются, лишь бы тебя получить?!"
[15591] "..."
[15592] "Да ещё и именно сегодня?! Даже будь я у них на побегушках — зачем им использовать анти-Асо, когда они и сами при полном параде?! Незачем им!"
[15593] "Верно, сегодня день церемонии, и в городе люди Извне. Им ведь не нужно, чтобы анти-Асо разгуливали по улицам."
[15594] "Вот видишь, стоит чуть подумать — и всё сходится, а? Чистая логика!"
[15595] "...Тебе всё равно почему-то трудно доверять."
[15597] "Кехех, ну, на этом и остановимся.
[15598] Я всё-таки полюбовалась на твои слёзы радости!"
[15599] "Я буду искренне рада, если вы там проломите Асоги пару голов!"
[15600] "А если вы там сами угробитесь — что ж, одним надоедливым конкурентом меньше.
[15601] Как ни поверни, я не в убытке!"
[15602] "Вот это точно в твоём духе.
[15603] Только тогда я не понимаю, зачем ты вообще вмешалась...?"
[15604] "Ну, если мы вам малость не подсобим, то и ставить на вас не сможем, верно?"
[15605] "Да ну тебя―нгх―Эй―аха-нгх...!
[15606] Хватит вертеться... Мвах-ннх, млн..."
[15607] "У-Уваааааааахххх!
[15608] С-Спаси меня-я-я-я-я, Кума-а-а-а-а!"
[15609] "Чёрт... Идите вон в угол и там этим занимайтесь!
[15610] Меньше всего мне хочется на это смотреть!"
[15611] "...Считай, что это плата за такси."
[15612] "Да сколько угодно... Нгх, эй!"
[15613] "Аах."
[15614] "Братец! Я слышу жу-у-ужжание, оно приближается!"
[15616] "Аах, дроны Асоги...!"
[15617] "Значит, всё-таки явились...?
[15618] Иду на прорыв!"
[15619] "Мы их перехватим. ALyCE, открывай огонь!"
[15620] "Хорошо-о-о!"
[15621] "Эй, помоги им, Шион! Нельзя же просто сидеть и заигрывать с малым!"
[15622] "Тц!"
[15623] "Хиих! Я-Я спасён..."
[15624] "Тц! Я ещё броню-то на этой штуке не доделала, а они по ней палят...!"
[15625] "Она новая? И где ты вообще раздобыла этот дом на колёсах?"
[15626] "А? Мы перехватили один любопытный груз. Припугнули ответственного — и он стал наш!"
[15627] "Вы бы нас поблагодарили! Если бы не этот шикарный день рождения, было бы куда―"
[15628] "Тсс... Вы что-нибудь слышите?"
[15629] "А? Нет..."
[15630] "Что-то приближается... вон оттуда."
[15631] "Погодите, это что... б-боевой вертолёт?!"
[15632] "Они и правда пустили в ход всё, что могли, а?!
[15633] Они там с ума посходили?!"
[15634] "У этих ребят безумия в избытке.
[15635] Сбиваем!"
[15636] "Пфааааааах! М-Мы правда это сделали!"
[15637] "Да, но с меня уже хватит этих подкреплений. Дави в пол, Мурасаки."
[15638] "Тц! Ну и наглость... Если тебя вытряхнет — подбирать не вернусь!"
[15639] "Вахахаах! Прямо американские горки!"
[15640] "Почти на месте... Вы готовы?"
[15641] "Да, мы готовы... но..."
[15642] (Сейчас последняя возможность подготовиться.
[15643] Надо бы всё перепроверить, чтобы мы были готовы настолько, насколько это вообще возможно.)
[15644] "Аах, мы приехали! Штаб-квартира Асоги!"
[15645] "Так, пошли!"
[15646] "Отли-и-и-ично! Погнали!"
[15647] "Врываемся!"
