[13361] "Вот как?"
[13362] (Сбежала Вовне...?
[13363] Не, точно сказать нельзя.)
[13364] (Пока с ней Хототогису...
[13365] она так или иначе выживет.)
[13366] "А что до Наюты―
[13367] то есть госпожи Кикучиё―
[13368] похоже, она зашевелилась..."
[13369] "Угу?"
[13370] "Разгуливать так беспечно при нынешних обстоятельствах опасно...
[13371] У Асоги острый глаз."
[13372] "Думаю, нам разумнее не высовываться, пока день рождения Основателя не пройдёт..."
[13373] "...Ага."
[13374] "Так... как нам действовать дальше?"
[13375] "А ты как думаешь? Как шли, так и пойдём."
[13376] "Ясно..."
[13377] "Что? Не по нраву, что я тут главная?
[13378] Хочешь сама попробовать порулить?"
[13379] "Эй... Пожалуйста, не надо так.
[13380] Конечно, мы будем действовать как обычно."
[13381] "Я не о том... Я хотела знать, каким будет наш следующий шаг..."
[13382] "Хмм... Да уж... После всего наши ряды здорово поредели..."
[13383] (Не хочется залегать на дно... но и класть людей просто так тоже неохота...)
[13384] "Эй! Не дайте ему уйти!"
[13385] "Стой, засранец...!"
[13386] "...А?"
[13387] "Что происходит? Из-за чего переполох...?"
[13388] "Гаааах! Черти вы в балахонах, до чего же назойливые!"
[13389] "Ты-то здесь откуда?"
[13390] "Гех! Франкенштейн!"
[13391] "Сперва черти, теперь Франкенштейн...
[13392] Мы тебе что, сборище сказочных чудищ?"
[13393] "Ты окружён, малец!"
[13394] "Гхх, э-это нечестно!"
[13395] "Погодите-ка. Что он натворил?"
[13396] "Так... Он шнырял у нашей лавки, а потом..."
[13397] "Да ни черта вы мне не «девушку постарше» подсунули! За тридцать — это уже категория «мамочка»! Разберитесь с категориями!"
[13398] "Эй! Хватит перебивать...!"
[13399] "...А. Отпустите его. Тебе, парень, разве есть когда дурачиться?"
[13400] "А?"
[13401] "Я думала, твой клан взялся за дело?"
[13402] "Ке! Я провожу разведку! Нам нужны сведения, чтобы свалить врагов!"
[13403] "Вот как? Это Кума тебе приказал?"
[13404] "А? С чего ты взяла, что я выполняю его приказы?!"
[13405] "Я, между прочим, в клане дольше него!
[13406] Я слушаюсь мелкого, чтобы он не расстраивался."
[13407] "Ха... Ну и что вы там задумали?"
[13408] "Не твоё дело!"
[13409] "Хмф..."
[13410] "Заставить его говорить?"
[13411] "Хорош! Почему сразу допрос?!
[13412] Нечестно, что вы вечно с оружием ходите!"
[13413] "А... Не, не надо. Кстати...
[13414] как поживает наша бывшая вожачка?"
[13415] "А? Ты про Кикучиё?
[13416] В смысле? Как обычно."
[13417] "Она сегодня утром была жутко злая!
[13418] Я аж едой подавился."
[13419] "...Г-Госпожа Кикучиё...?"
[13420] "...Что ты, чёрт возьми, ей сделал?"
[13421] "А чёрт его знает, не помню. Может, сказал чего. Она уж больно легко заводится!"
[13422] "...Ясно."
[13423] "Так что нам с ним делать?
[13424] Взять в плен...?"
[13425] "Не, не надо. Отпустите его."
[13426] "О-Оох... Ага, я пойду..."
[13427] "Ага, и вот что тебе стоит запомнить... Женщины за тридцать всё ещё считаются «постарше». Так и знай."
[13428] "Мгх, верно! Именно так!"
[13429] "А? У вас черви в мозгу?! Да ни за что!"
[13430] "Кхх! Ах ты...!"
[13431] "Ну да ладно. Нам тоже пора выдвигаться."
[13432] "Ясно..."
[13433] "Адзумада говорит, что нашёл нам новую базу, но я откажусь. Слишком уж рискованный мост."
[13434] "То есть... мы так и будем скрываться?
[13435] Но что мы будем делать потом..."
[13436] "...Я что, обязана перед тобой отчитываться?
[13437] Ты вообще кем себя возомнила?"
[13438] "...Ясно."
[13439] "Считаешь, что положение тяжёлое, — так и есть... но загонять в угол человека с мечом никогда не стоит!"
[13440] "Тееееяаааааах! Кайдзю сокрушааает!"
[13441] "ALyCE! Девочкам так нельзя даже в шутку... Эй!"
[13442] "Ахахахахаха! Слишком медленнооо!"
[13443] "Кхх, промахнулась...! Значит, придётся выпустить всю мою мощь!"
[13444] "Хочешь в догонялки? Я никогда не проигрываю!"
[13445] "Хаааааааааааах!"
[13446] "...Что вы двое творите?
[13447] Решили разнести убежище?"
[13448] "Б-Братик Кума...!"
[13449] "Ты сегодня поздно не спишь, ALyCE.
[13450] А где Медико?"
[13451] "Я-Я как раз собиралась ложиться! Я хорошая девочка!"
[13452] "Вот как? Ладно, спокойной ночи.
