[13453] Ты ведь можешь лечь сама?"
[13454] "Ага! Споконочи!"
[13455] "Ах... хаах, хаах..."
[13456] "Прости за это. Где все?"
[13457] "...Антенна, как всегда, разбирает данные, а Медико и Джокер ей помогают."
[13458] "Заппа, Торатаро и Киракира ушли.
[13459] Они разделились и собирают сведения по разным частям города."
[13460] "...Я не могу за них не волноваться...
[13461] Особенно за Торатаро..."
[13462] "Они не настолько глупы, чтобы устраивать в городе шум при таких обстоятельствах... наверное..."
[13463] "...Что ж, пожалуй, не буду ждать худшего."
[13464] "Все, как всегда, трудятся вовсю.
[13465] А я, как видишь, ничего не могу."
[13466] "То, что вы с ALyCE держите оборону, — работа не хуже прочих. Никогда не знаешь, когда они выяснят, где наша база."
[13467] "Ну... хм, пожалуй, ты прав."
[13468] "...К тому же одного присмотра за ALyCE хватает, чтобы вымотаться."
[13469] "...Не понимаю, как Медико справляется."
[13470] "Ну что ж... пожалуй, пойду подсоблю Антенне."
[13471] "Они заперлись у неё в комнате.
[13472] Если туда набьётся ещё народ, будет совсем тесно..."
[13473] "Я думал просто взять часть документов и разобрать их у себя. Мне за ними всё равно не угнаться..."
[13474] "Не перенапрягайся."
[13475] "Не буду."
[13476] "Может, стоит приготовить всем поесть...
[13477] Тебе тоже надо больше пить."
[13478] "Ух..."
[13479] "Ой..."
[13480] "...Кума?"
[13481] "А, мне ведь надо попить, да?
[13482] Прости, что... задумался."
[13483] "..."
[13484] "..."
[13485] "...Это левый глаз, верно...?"
[13486] "...А ты глазастая, да?
[13487] Да. Я им почти ничего не вижу."
[13488] "...! Давно?"
[13489] "В нашем деле случаются несчастья. Раньше я им видел чуть получше."
[13490] "...Это случилось тогда, на «Анепике»..."
[13491] "Ага... Похоже, тебя не проведёшь."
[13492] "Ты никогда не скрываешь того, что не важно."
[13493] "В общем, это моя вина, так что позволь мне с этим разбираться самому, ладно? Стрелок из меня всё равно был неважный, а обычной жизни это не мешает."
[13494] "Тем больше причин отдыхать.
[13495] Всё будет даваться гораздо тяжелее, пока ты не привыкнешь видеть одним глазом."
[13496] "Я не перетруждаюсь."
[13497] "...И ты хочешь, чтобы я в это поверила?
[13498] При том что всё это время ты держал такое при себе?"
[13499] "Просто поверь мне. Сейчас―"
[13500] "Если ему нельзя доверять, надо за ним следить."
[13501] "П-Порно...?! Ты давно тут―?!"
[13502] "Совсем недолго."
[13503] "Присматривать за ним, значит...?
[13504] Это... хм, неплохая мысль."
[13505] "Единственный способ остановить того, кто гнёт своё вопреки уговорам, — вымотать его. Так гласят древние трактаты."
[13506] "Что―?!"
[13507] "Скорее уж древние тряпки!
[13508] Ты вообще что предлагаешь?!"
[13509] "...Пойдём в постель?"
[13510] "Гахх...!"
[13511] "Порно! Т-Т-Ты что, собираешься...?!"
[13512] "Хочешь присоединиться, Кикучиё?"
[13513] "П-Присоединиться...?!"
[13514] "Не слушай её, Кикучиё.
[13515] Просто не обращай внимания."
[13516] "Я-Я... должна приготовить всем поесть...
[13517] но, может быть... потом загляну к вам двоим..."
[13518] "Что―?!"
[13519] "Ого. Милости просим."
[13520] "Э-Это совсем не то! Я всё ещё в долгу перед Кумой, за ним нужен присмотр, и кто-то должен блюсти в этом клане нравственный порядок!"
[13521] "Ты всё время меняешь причину!"
[13522] "Ну, у Кумы в этом отношении опыта немного."
[13523] "В каком ещё отношении?!"
[13524] "...Я только-только выкарабкался с того света...
[13525] Что вы вообще затеваете...?"
[13526] "Итак..."
[13527] "О, Мурасаки и Шион! Рад видеть вас обеих!"
[13528] "Привет. Как она себя ведёт?"
[13529] "Она пользуется большим успехом! Приносит нам серьёзные деньги."
[13530] "Прямо сейчас тоже?"
[13531] "Да. Прошу сюда..."
[13532] "Хаах... а-оох-гхх... нгх-их... гих-иииих..."
[13533] "Хаах-агхх-гхх-кхххх...!"
[13534] Группа мужчин обступила миниатюрное тело Цуины Мибу.
[13535] "Хаах-ах-оох-кххххх...! До чего мокрая и тесная... Чёрт возьми...!"
[13536] "...И-И мне, не верится, что это бесплатно...
[13537] нгх-кхх-ооох!"
