[2735] "Да, будет настоящий карнавал."
[2736] "Карнавал?! Я люблю сахарную вату!"
[2737] "А я люблю якисобу с кальмаром!
[2738] И чтобы соуса побольше!"
[2739] "Мне яблоко в карамели."
[2740] "Не буквально, народ..."
[2741] "Ты всех завёл, Заппа...
[2742] Значит, вламываемся."
[2743] "Эй, Кума. Глянь-ка."
[2744] "Хм? Это... карта города."
[2745] "Ага, я тоже кое-что изучал.
[2746] Время от времени натыкаюсь на довольно сочные места для охоты."
[2747] "Хорошие места для охоты?"
[2748] "Именно. Найду что-то популярное у дамочек повыше классом — дам знать."
[2749] "Хм... Ценю, но...
[2750] на тебя это не похоже, Торатаро."
[2751] "Чувак, ты просто посмотри, как Заппа завёлся.
[2752] Если здесь хоть кто-то не будет готовиться, он нас угробит."
[2753] "Ты прав..."
[2754] "Не переживай, Большой Тора прикроет!
[2755] Смотри и учись, ясно? Особенно когда дело доходит до выбора мест для охоты!"
[2756] "Значит, это здесь?"
[2757] "Мы немного опоздали. Похоже, уже началось."
[2758] "Ч-что началось...?!"
[2759] "Это террористы, Анти-Асо!
[2760] Нужна поддержка! Зовите подкрепление!"
[2761] "В атаку! Мы отстаём! Прорываемся!"
[2762] "Тч! Они крепкие! Слишком много мешают... Нгх!"
[2763] "Оп, нашёл!"
[2764] "Заппа? Теперь ещё и Наюта здесь?!
[2765] Вот обязательно было появиться именно сейчас...!"
[2766] "Именно, Мурасаки! И без твоей помощи мы бы не справились. Мы пришли забрать сокровище!"
[2767] "Так вы о нём узнали...? Слышал, на днях вы отправили Сион сообщение.
[2768] Может, я отвечу..."
[2769] "Лидер Flattt?! Это он! Взять его!"
[2770] "Тч! Псы Синадзу! Как они смеют целиться в меня...!"
[2771] "Чёрт...! Эй, все сюда!
[2772] Защитить Мурасаки!"
[2773] "Аргх, чёрт! Да что за дерьмо...!"
[2774] "...Значит, Мурасаки занят своей маленькой войной!
[2775] Нам тут больше делать нечего!"
[2776] "Стойте, ублюдки! Заппа! Наюта!
[2777] Грааахх...!"
[2778] "Ньехехехех! Как же приятно слышать, как он рычит за спиной, пока мы его обгоняем!"
[2779] "Эй, сюда, сюда♪" "Синадзу и девушки в маске нигде не видно. Будем считать, что они впереди."
[2780] "Тогда догоняем. Пора Наюте вступить в игру! Полный вперёд!"
[2781] "Урооооооааааааааа!"
[2782] "А-а?! Э-этот крик...!"
[2783] "Люй Бу? Я так и думал, что он может появиться в такой заварушке...!"
[2784] "Ке! Тупая гора мяса!"
[2785] "Хааааааааааааа!"
[2786] "Эти голоса... Синономэ.
[2787] Они дерутся с Люй Бу...?"
[2788] "Жу-у-уть. Это что, чемпионат по внезапным сюрпризам?"
[2789] "Эм... В прошлый раз от него все бежали, а теперь..."
[2790] "Похоже, то, что мы ищем, действительно важно..."
[2791] "О-о-о! Значит, сокровище настолько ценное?
[2792] Теперь я ещё сильнее завёлся!"
[2793] "Нам не нужно лезть в эту драку. Игнорировать её — самый рациональный вариант."
[2794] "А как мы её проигнорируем?
[2795] Найдём другой путь?"
[2796] "Да, у нас тоже есть большой сюрприз в команде. Антенна, видишь ту дверь безопасности?"
[2797] "Вахахаха! Оставь это мне!"
[2798] "..."
[2799] "Кума, Заппа говорит, что хочет ворваться туда."
[2800] "Что?"
[2801] "Не-е-ет, я этого не говорил! Ни звука.
[2802] Но на секунду я так по-о-одумал."
[2803] "Т-т-ты хочешь побежать туда?!"
[2804] "Я просто говорю, что это один из вариантов... Да?"
[2805] "Есть нерационально, а есть тупо."
[2806] "Ч-ч-что делать?
[2807] Мы же их обходим, да?!"
[2808] "Да, план такой... но если Заппа ворвётся, нам придётся идти за ним."
[2809] "А-а-а?!"
[2810] "Ммх-нгх...!"
[2811] "Почувствовал, зверюга...?!"
[2812] "Хаах, хаах... Все целы...?"
[2813] "Д-да, кажется..."
[2814] "Что? Вы победили Люй Бу...?"
[2815] "Неплохо..."
[2816] "Интересно..."
[2817] "...!"
[2818] "Он встал...?!"
[2819] "У него вид, будто он хочет ещё...
[2820] Из чего, чёрт возьми, сделан этот тип...?!"
[2821] "Заппа, тебе хватило, да?!"
[2822] "Ага, я не настолько киборг, чтобы идти на бис!"
[2823] "Меня устраивает... Пошли!
[2824] Все разделяемся и обходим его!"
[2825] "Есть, сэр!"
