[23190] "Я пас."
[23191] "Я тоже пас."
[23192] "Чего-о-о?! Ну и зануды же вы!"
[23193] "Может, я лучше сниму тебя на видео?
[23194] Не оставлять же твой отважный подвиг незапечатлённым."
[23195] "Оо, отличная мысль! На тебя вся надежда!"
[23196] "...Так, я готова."
[23197] "Ооошах! Тааааааааааахх!"
[23198] "Он и правда решился... Ему разве не нужна страховочная верёвка или что-то такое...?"
[23199] "...Аах, он остановился."
[23200] "...И-и-и возвращается."
[23201] "Уааааааааа! Это же жууууть!
[23202] Пролёт куда шире, чем я думал!"
[23203] "Придётся тебе применить Прыжок Заппы."
[23204] "Да там и уцепиться-то не за что!"
[23205] "Ну, ты сам это придумал.
[23206] Пойдём, возвращаемся."
[23207] "Не-е-е-ет! Мои шестерёнки назад не крутятся!"
[23208] "Вот смотрииите! Уоооооооаааххххх!"
[23209] "Он снова разбежа―аах, остановился.
[23210] Возвращается."
[23211] "Кхх... нннгх..."
[23212] "Похоже, он колеблется... Кажется, пытается прикинуть расстояние..."
[23213] "Теперь чешет затылок и сдаётся...
[23214] Оо, а вот и побежал. Вид у него совсем отчаянный."
[23215] "На этот раз не останавливается... Аах."
[23216] "Уооооооооооаааххх... Аааааахххххх..."
[23217] "Прыгнул... и упал..."
[23218] "...А?! Аах, нет. Висит, вцепившись изо всех сил."
[23219] "Это второй этаж... Нет... Третий?"
[23220] "...Честно говоря, разницы почти никакой, залезь он с земли."
[23221] "Хочешь лезть оттуда?"
[23222] "Ещё чего, я туда вниз не полезу. Я все силы трачу на удержание позиций."
[23223] "А?! Что это там наверху?!"
[23224] "Аах, охрана."
[23225] "Гахах! Гффхх!"
[23226] "Теперь по нему стреляют. Прямо по заду и попадают... Аах, упал."
[23227] "...Ну и ладно. Порно, позвони Киракире. Скажи, где мы, и вытащите Заппу."
[23228] "А ты?"
[23229] "...Я устрою отвлекающий манёвр."
[23230] "Ааах, пронесло! Смерть прямо рядом прошла!"
[23231] "Но в итоге мы всё-таки посеяли в этом городе хаос, так что всё сложилось удачно!
[23232] Вахахахахахаха!"
[23233] "А смысл-то в этом хоть какой-то был?"
[23234] "Конечно был! Нам важно заниматься такими вещами!"
[23235] "Правда?"
[23236] "Ага."
[23237] "Хаах-фххх... хиих... Ну как прошёл отвлекающий манёвр...?"
[23238] "...Я думал, меня прикончат!"
[23239] "..."
[23240] "Ой-ой, похоже, на этой неделе мне не везёт."
[23241] "Хааааа-ах..."
[23242] "Аах, может, сейчас самое время заняться стиркой..."
[23243] "Так, народ, выкладываемся по полной!"
[23244] "А? Что такое, Заппа?"
[23245] "Дамы и господа из «Наюты»! Что-то вы в последнее время расслабились!"
[23246] "...Хм, разве?"
[23247] "Но я буквально в разгаре разбора наших рабочих файлов..."
[23248] "Мы воины! Мы обязаны всегда хранить в сердце мечту о революции!"
[23249] "...Мне очень не хочется выслушивать это от того, кто пару минут назад сидел на заднице и смотрел аниме."
[23250] "«Пэтти и Милли» на этой неделе были хороши. Тебя заставляют думать, что это будет лёгкая операция по истреблению моря..."
[23251] "Да, точно! Вот тот момент, где у Пэтти пробудилась её―э-э, в смысле, дело не в этом!"
[23252] "...У тебя есть что-то на уме?"
[23253] "Устроим тренировку! Погодите-ка минутку!"
[23254] "Ушёл куда-то назад... Что он вообще задумал?"
[23255] "...О-Он сказал «тренировка»...? Анти-Асо тоже приходится этим заниматься...? Прямо как в армии..."
[23256] "Аах, нет-нет. Это какая-то случайная игра, которую придумал Заппа."
[23257] "П-Прямо на ходу...?"
[23258] "К тому же сегодня начинается вся эта праздничная суматоха."
[23259] "Та-а-ак, спасибо за ожидание!"
[23260] "А? Это пицца? Ты заказал её нам?"
[23261] "Хехехех! Наш путь пронизан единой нитью! Никакого разгильдяйства я не потерплю!"
[23262] "Я не очень понимаю... но, полагаю, ты хочешь, чтобы мы её съели, верно?
[23263] Выглядит вкусно."
[23264] "Аах, стой, стой! Сперва мне надо всё объяснить!"
[23265] "Объяснить? В смысле? Ты про то, как правильно есть пиццу, что ли?"
[23266] "Не-а! Мы все будем есть эту пиццу...
[23267] но один-два куска нашпигованы специями!
[23268] От них у вкусовых рецепторов случится тепловой удар!"
[23269] "А? Это что, пицца — русская рулетка?!"
