[7673] Я один из избранных, я могу делать с отбросами общества всё, что захочу!"
[7674] "Ого... Это настоящий пистолет..."
[7675] "Отец достал. Что-то говорил, что там нет ID-замка или ещё чего-то?
[7676] Да какая разница."
[7677] "Вот достану его перед другой отбросиной общества... Не терпится увидеть её лицо. Хе-хехех!"
[7678] "Хм-хм♪ Куда пойдём? Аркада, а потом магазины — весёлое сочетание, но можно и в парк аттракционов!"
[7679] "Погода всё ещё жаркая, так что бассейн тоже вариант... или даже пляж..."
[7680] "Е-если подумать... пляж — это, наверное, слишком смело..."
[7681] "В этот раз я просто хочу расслабиться и повеселиться!
[7682] Мм, да... Может, бассейн!"
[7683] "А-а, но... р-рядом ведь есть отель...? Хмм..."
[7684] "А-а, хватит переживать, хватит!
[7685] Это не в моём стиле!"
[7686] "Ладно, я решила! Можно написать ему сообщение, но лучше позвоню! Так..."
[7687] "Эй, Синомия?"
[7688] "Опять? Угх, кто это―"
[7689] "...?! Э-это пистолет...?!"
[7690] "Одолжу тебя на минутку."
[7691] "А?! Сколько раз я тебе говорила?!
[7692] Я не хочу иметь с то―"
[7693] "...Думаешь, это подделка?"
[7694] "Ик...!"
[7695] "Думаешь, я стал бы размахивать такой безвкусицей, как игрушечный пистолет? Я Морияма.
[7696] Понимаешь? Хехех-хехехе...!"
[7697] "А-а... ах... ах..."
[7698] "Идём. Пойдёшь с нами."
[7699] "Шевелись! Хех-хехе..."
[7700] "А-а! О-отпусти...!"
[7701] "Куда пойдём, Морияма?"
[7702] "Думаю, в радиорубку...
[7703] Там хорошая звукоизоляция."
[7704] "Т-ты понимаешь, что будет, если не послушаешься, да?! Хехех-хехехехе..."
[7705] "...Игх..."
[7706] "...В общем, теперь я могу улучшать твоё оружие ещё сильнее!"
[7707] "..."
[7708] "Ты после школы домой?
[7709] Как мило! Наверное, ты очень популярен."
[7710] "Нет, не особо... Разве ты не говорила, что раньше не могла это сделать?"
[7711] "Да, говорила, но теперь у меня новое оборудование! Теперь должно получиться..."
[7712] "...Как удобно."
[7713] "Хм? Не понимаю, о чём ты.
[7714] Я же из кожи вон лезу ради тебя, Кума."
[7715] "Ладно. Ты и так задержала меня слишком надолго, теперь я опаздываю. Если это оборудование даст нам больше огневой мощи, хорошо."
[7716] "Мм, рада, что ты понимаешь!
[7717] На выходе можешь ещё посмотреть товары."
[7718] "Спасибо, что зашёл♪" "Хм... Теперь опять копить."
[7719] "Мхмхм, приятно иметь дело."
[7720] "Хм? Ещё звонок...?"
[7721] "О-о, лучше ответь скорее, мистер Популярность."
[7722] "Киракира...? Что случилось?"
[7723] "...Угх, кто это―"
[7724] "Эй, Киракира? Это розыгрыш?"
[7725] "...?!"
[7726] "Думаешь, я стал бы размахивать такой безвкусицей, как игрушечный пистолет? Я Морияма.
[7727] Понимаешь? Хехех-хехехе...!"
[7728] "А-а... ах... ах..."
[7729] (Кто этот парень...? Морияма...
[7730] Сын какого-то руководителя...?)
[7731] "Идём. Пойдёшь с нами."
[7732] "Шевелись! Хех-хехе..."
[7733] "А-а! О-отпусти...!"
[7734] "Куда пойдём, Морияма?"
[7735] "Думаю, в радиорубку...
[7736] Там хорошая―"
[7737] "Чёрт! Прости, мне пора!"
[7738] "Кума?!"
[7739] "Тч... Хуже времени не придумаешь. До Заппы и остальных не дозвониться...!"
[7740] "...Хм? Это?"
[7741] "Так как в районе только что слышали выстрелы, мы проверяем все вещи."
[7742] "Все учащиеся, прошедшие проверку, пожалуйста, покиньте здание через школьные ворота."
[7743] "...Что...?!"
[7744] (Если бы у меня был хотя бы час...
[7745] я бы собрал остальных...)
[7746] (Тогда мы могли бы проникнуть вместе.
[7747] Это был бы самый рациональный подход... но...)
[7748] "А? Что происходит?
[7749] Какая-то тревога?"
[7750] "Торатаро...!"
[7751] "Эй, Кума! А-а, это твоя школа?
[7752] Что-то интересное происхо―"
[7753] "Слушай! Коротко, но..."
[7754] "...Киракира? Ты услышал выстрел по телефону?
[7755] И теперь здесь паника из-за выстрела?"
[7756] "Я услышал что-то про радиорубку.
[7757] Возможно, они узнали, что она Анти-Асо..."
[7758] "Ке! Тогда надо шевелиться!
[7759] Нельзя терять время!"
[7760] "...Спасибо за помощь. Я не могу связаться ни с кем другим..."
[7761] "Чувак, я вся поддержка, которая тебе нужна.
[7762] Будешь должен, понял? Вернёшь деньгами."
