[14161] "Ооооооаах!"
[14162] "Тц...!"
[14163] "Не так быстро!"
[14164] "Заппа...!"
[14165] "Дела и правда обернулись хуже некуда, а?!"
[14166] "Ага, хуже, чем когда-либо!
[14167] Надо же было штаб-квартире так влезть в наши дела..."
[14168] "Если мы с этим не разберёмся, всем причастным придётся плохо, да?
[14169] Попробуй пробиться и уноси ноги!"
[14170] "Ага, придётся попытать удачу в следующий раз, да...? ALyCE, беги!"
[14171] "Х-Хорошо... Возвращайтесь скорее, братцы!"
[14172] "Они идут!"
[14173] "Пальни в них из пистолета — и бегом обратно к поезду! На счёт три!"
[14174] "Ладно!"
[14175] "Раз, два―!"
[14176] "Кхх... Ах вы, анти-Асо...!"
[14177] "Нгх?!"
[14178] "Заппа! Твоя нога...!"
[14179] "Проклятье...!"
[14180] "Попались! Не двигаться, шпана...!"
[14181] "Гхх!"
[14182] (Ух―Чёрт...! Дело дрянь...!)
[14183] "Нгхоохрааааааааааааах!"
[14184] "Заппа...!"
[14185] "Кхх! Думаешь, тебе удастся уйти...?!"
[14186] "Беги! Уходи...!"
[14187] "...Чёрт!"
[14188] "Закрывай двери, Антенна!"
[14189] "Принято!"
[14190] "Гхх...!"
[14191] "А? А где Заппа?!"
[14192] "Он всё ещё там...!"
[14193] "Что?! Аах, придётся снова открывать двери...!"
[14194] "Не думай обо мне, Антенна...!
[14195] Просто уезжай! Кума... Ты за старшую...!"
[14196] "Заппа...!"
[14197] "Стой! А-А как же Заппа?!"
[14198] "―Антенна...! Гони!"
[14199] "...Х-Х-Хорошо!"
[14200] "Кума...!"
[14201] "Вам не уйти! Открывай двери!"
[14202] "Кяах-вававах! Они по нам стреляют!"
[14203] "Все пригнитесь! Антенна!"
[14204] "М-Мы поехали!"
[14205] (Соберись. Думай логически!
[14206] Делай то, что должна...!)
[14207] "Приносим извинения за задержку! В настоящее время движение поездов серьёзно нарушено из-за происшествия на путях!"
[14208] "Да вы издеваетесь? Ааааауф...
[14209] Кому вообще взбредёт бросаться под поезд в такую рань...?"
[14210] "...Агххаах... Хаах..."
[14211] "Хииуваааах?!"
[14212] "Хе. Ха. Хахахаха...! Чудесно...
[14213] Я так... удовлетворён..."
[14214] "Эй... Эй! Дежурный по ста-а-анции!
[14215] На помощь! Дежурный по ста-а-а-а-анции?!"
[14216] (Побеждён... без единого намёка на грязную игру...
[14217] Подумать только, что изнеможение может быть таким блаженством...)
[14218] "Ай-ай-ай... Вот, значит, до чего ты докатился..."
[14219] "..."
[14220] "Это был наш шанс ослабить Асоги.
[14221] Я, кажется, приказала тебе оставить этих Анти-Асо в покое..."
[14222] "Худший из возможных исходов.
[14223] Анти-Асо провалились из-за твоего вмешательства, да и сам ты потерпел поражение."
[14224] "...И ты ведь на пределе, не так ли?"
[14225] "Что вы―?!"
[14226] "...!"
[14227] "Боюсь, это прощание. Но нельзя допустить, чтобы твоё тело подобрали люди Асоги."
[14228] "Так что вот тебе подарок.
[14229] Так ты не оставишь никаких следов."
[14230] "Ах ты... тварь...!"
[14231] "Прощай."
[14232] "Э-Эй, вы! Э-Это что, пистолет...?!"
[14233] "Прошу прощения. Я просто выполняю свою работу."
[14234] "Э-Эй...!"
[14235] "...!"
[14236] "На станции произошёл взрыв! Повторяю, взрыв на станции! Немедленно―"
[14237] "..."
[14238] "..."
[14239] "Похоже, эта операция... провалилась, да...?"
[14240] "...Мы даже прорваться внутрь не смогли."
[14241] "Братец Заппа... уже не вернётся, да?"
[14242] "..."
[14243] "И что нам, чёрт возьми, теперь делать?"
[14244] "..."
[14245] "Мы же должны пойти и спасти Заппу, так?
[14246] Чего мы просто стоим?"
[14247] "Но у нас нет плана.
[14248] Тот же трюк второй раз не пройдёт...
[14249] а по силам мы уступаем слишком сильно."
[14250] "И что нам тогда прикажешь делать?
[14251] Если наш лидер не отдаст приказ, мы ничего не сможем."
[14252] "...Лидер? О ком это ты?"
[14253] "А если не ты, то кто?! Заппы-то здесь нет!"
[14254] "Я для этого не гожусь...
[14255] да и не по мне это."
[14256] "Говоришь так, а сама всё это время водила Наюту за собой!"
[14257] "А я-то думала, это тебе не нравилось, когда я решаю всё сама."
[14258] "Ты всё равно всегда добивалась своего!"
[14259] "Мы и по твоим задумкам действовали не раз.
[14260] Взять хоть прошлую операцию."
[14261] "Хочешь сказать, это по моей вине мы провалились?!"
[14262] "Я не это пытаюсь сказать.
[14263] Ты сама так решила, не сваливай на меня."
[14264] "...Что ты сказала?!"
[14265] "Первый наш промах был моим — я просчиталась.
[14266] Второй был Заппы... он спас меня."
